epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,39.2839,1.64205,2.01274,1.32624,0.79136,0.64025,0.73365,0.36996,1.51473,1.29218,1.18794,0.0099359,0.00331197,0.0099359,0.00331197,0.0099359,0.00331197,0.0099359,0.00331197
2,75.6263,1.51958,1.28062,1.24236,0.75555,0.67463,0.73195,0.30955,1.88343,1.45474,1.39791,0.0197385,0.00657951,0.0197385,0.00657951,0.0197385,0.00657951,0.0197385,0.00657951
3,111.445,1.58132,1.28692,1.27849,0.70747,0.4018,0.52307,0.26346,1.64381,2.46107,1.45457,0.0293432,0.00978106,0.0293432,0.00978106,0.0293432,0.00978106,0.0293432,0.00978106
4,147.245,1.61439,1.27167,1.32097,0.77494,0.53431,0.66632,0.35432,1.49709,2.63844,1.33669,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,180.493,1.54334,1.15386,1.27172,0.87452,0.71041,0.8185,0.45516,1.41341,1.06355,1.20996,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,215.776,1.47796,1.09858,1.25146,0.85728,0.73528,0.82729,0.478,1.312,0.90684,1.1659,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,249.716,1.44451,1.03687,1.23004,0.84736,0.75535,0.84197,0.4974,1.3089,0.88762,1.16206,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,284.574,1.40753,1.00588,1.21965,0.85147,0.75103,0.84517,0.49747,1.22824,0.82956,1.12104,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,320.551,1.39368,0.99405,1.21075,0.85808,0.75443,0.8537,0.47202,1.37598,0.87387,1.16413,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,355.699,1.3744,0.964,1.19618,0.90745,0.7914,0.88663,0.53959,1.25631,0.79523,1.11523,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,388.755,1.37046,0.94902,1.18926,0.89904,0.80711,0.8879,0.52825,1.28587,0.79267,1.12962,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,423.626,1.32538,0.91968,1.1806,0.8964,0.80502,0.8824,0.54407,1.1492,0.75013,1.09279,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,459.021,1.32175,0.90613,1.17584,0.91456,0.82102,0.89903,0.55931,1.17437,0.72411,1.0885,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,493.323,1.3022,0.88753,1.16535,0.91076,0.81602,0.89704,0.56569,1.13865,0.7725,1.08406,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,529.259,1.28198,0.88345,1.16621,0.90439,0.82025,0.89985,0.54531,1.21296,0.72054,1.09751,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,563.425,1.2862,0.86887,1.15246,0.89687,0.80748,0.88465,0.54563,1.16251,0.74301,1.10372,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,596.767,1.27542,0.86714,1.14821,0.90991,0.8317,0.9053,0.58045,1.07472,0.69216,1.05747,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,633.088,1.24575,0.8508,1.14996,0.90265,0.82796,0.89637,0.57944,1.08721,0.67867,1.06324,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,667.999,1.25753,0.84397,1.14165,0.9135,0.83756,0.90923,0.59565,1.05684,0.65875,1.06305,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,702.641,1.23637,0.8373,1.14182,0.90558,0.83468,0.90775,0.59822,1.03871,0.67082,1.03957,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,738.465,1.22007,0.82811,1.13436,0.91911,0.84742,0.91702,0.5984,1.08763,0.64643,1.04953,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,774.362,1.2199,0.81851,1.13463,0.93936,0.84144,0.91836,0.59857,1.04814,0.63591,1.05054,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,808.906,1.21505,0.81581,1.13346,0.91075,0.84056,0.91703,0.59221,1.10169,0.65762,1.05129,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,844.389,1.22191,0.81236,1.13156,0.90964,0.83871,0.9135,0.60156,1.04739,0.66786,1.04464,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,878.214,1.22249,0.80671,1.12097,0.90863,0.82776,0.90735,0.59374,1.04431,0.66267,1.04812,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,913.671,1.19802,0.79929,1.12074,0.91055,0.86074,0.92118,0.61209,1.00601,0.62616,1.02979,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,948.02,1.19167,0.79066,1.11703,0.92099,0.84571,0.92054,0.60159,1.08942,0.65018,1.03967,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,981.769,1.19809,0.79144,1.11429,0.92535,0.85836,0.92518,0.6101,1.02304,0.61235,1.03384,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,1015.55,1.17766,0.77461,1.10687,0.93,0.8652,0.92828,0.6188,1.02108,0.61308,1.02909,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,1050.29,1.17995,0.78115,1.10748,0.92946,0.85499,0.92064,0.61295,1.01522,0.60924,1.02782,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,1084.68,1.1862,0.78097,1.10691,0.93272,0.86554,0.92782,0.61624,1.02981,0.59693,1.02181,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,1118.81,1.18056,0.78059,1.11015,0.93621,0.85516,0.92683,0.6283,0.98644,0.58954,1.01026,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,1152.52,1.17117,0.77235,1.10502,0.92408,0.86391,0.92761,0.61549,1.04379,0.6131,1.02208,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,1186.79,1.1707,0.76634,1.10129,0.93525,0.86404,0.93181,0.62771,0.98809,0.58932,1.01291,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,1220.91,1.16042,0.76176,1.0972,0.93285,0.8649,0.92946,0.62893,0.99252,0.58147,1.01177,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,1255.49,1.1497,0.75574,1.09897,0.93235,0.87083,0.93191,0.63393,0.98064,0.57805,1.01257,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,1289.64,1.15781,0.75909,1.09692,0.93479,0.85883,0.92795,0.62643,0.99704,0.58129,1.01357,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,1322.99,1.15022,0.75274,1.09287,0.93326,0.85991,0.92647,0.63107,0.98238,0.58503,1.0123,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,1357.97,1.14546,0.74798,1.09639,0.93086,0.8701,0.93442,0.63398,0.97961,0.56546,1.00717,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,1392.89,1.13952,0.74028,1.093,0.93538,0.86901,0.93429,0.64109,0.97401,0.56767,1.00429,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,1427.27,1.15596,0.74969,1.09059,0.94223,0.86465,0.92994,0.63751,0.97667,0.5683,1.00368,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,1461.67,1.13239,0.73385,1.08714,0.94395,0.8789,0.94043,0.62719,1.04445,0.5709,1.01269,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,1496.2,1.12282,0.73049,1.0899,0.93764,0.86735,0.92957,0.64137,0.95965,0.56799,1.00622,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,1532.01,1.11428,0.7272,1.08871,0.94679,0.86558,0.9361,0.64865,0.94531,0.55069,0.99413,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,1568.5,1.11083,0.72571,1.09005,0.93931,0.86831,0.92969,0.64253,0.9559,0.55403,0.99932,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,1603.27,1.12584,0.72548,1.07801,0.94037,0.87288,0.93447,0.64911,0.94306,0.55086,0.9979,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,1635.54,1.1268,0.72913,1.08212,0.94573,0.87696,0.9381,0.64407,0.97387,0.54929,0.99669,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,1670.05,1.11394,0.72441,1.08513,0.94816,0.87557,0.93676,0.64561,0.95759,0.54362,0.99534,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
