epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,77.7869,1.79854,3.03635,0.01753,0.53569,0.50695,0.5188,0.30638,1.39111,2.24998,0.01367,0.0099359,0.00331197,0.0099359,0.00331197,0.0099359,0.00331197,0.0099359,0.00331197
2,129.953,1.658,1.94235,0.01529,0.69114,0.63858,0.69206,0.36434,1.57867,1.55336,0.01533,0.0197385,0.00657951,0.0197385,0.00657951,0.0197385,0.00657951,0.0197385,0.00657951
3,179.249,1.68864,1.62467,0.0155,0.62907,0.4916,0.55695,0.24893,1.85713,2.16473,0.01983,0.0293432,0.00978106,0.0293432,0.00978106,0.0293432,0.00978106,0.0293432,0.00978106
4,229.082,1.74517,1.52395,0.01638,0.77554,0.6858,0.76457,0.40239,1.65441,1.19741,0.01782,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,275.743,1.71418,1.40856,0.01595,0.79823,0.67716,0.78357,0.42293,1.6148,1.07387,0.01757,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,325.361,1.67093,1.33233,0.01525,0.81242,0.72418,0.79693,0.45206,1.49649,1.01254,0.01446,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,373.579,1.65373,1.27988,0.01509,0.80313,0.74769,0.8305,0.45263,1.53246,0.94196,0.01528,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,420.759,1.61459,1.24627,0.01482,0.82817,0.73755,0.82859,0.44025,1.53891,1.28603,0.01569,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,471.864,1.60353,1.22479,0.01457,0.82752,0.77224,0.85284,0.51015,1.35113,0.86632,0.01299,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,519.067,1.59641,1.19262,0.01433,0.85403,0.76678,0.84983,0.50112,1.41318,0.83777,0.01345,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,568.688,1.59803,1.18937,0.01453,0.84914,0.76352,0.85661,0.51459,1.35709,0.82002,0.01361,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,616.315,1.54458,1.14486,0.01395,0.84803,0.77458,0.86408,0.52998,1.29245,0.87923,0.01235,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,666.062,1.54578,1.12602,0.01372,0.8549,0.78719,0.86679,0.5045,1.43338,0.80581,0.01437,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,713.028,1.52573,1.09814,0.01364,0.82437,0.77755,0.8626,0.47721,1.54127,0.82765,0.01458,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,763.362,1.50192,1.09166,0.0134,0.86261,0.78114,0.87378,0.54574,1.29013,0.73573,0.01235,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,809.055,1.51085,1.08326,0.01349,0.85013,0.77465,0.85928,0.55021,1.25415,0.76259,0.01167,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,856.389,1.51646,1.07837,0.01357,0.88194,0.81432,0.88986,0.56213,1.24273,0.70821,0.01193,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,905.836,1.46848,1.04088,0.01308,0.89287,0.82295,0.9058,0.56016,1.31308,0.6695,0.01272,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,954.542,1.49604,1.04457,0.01338,0.8699,0.79901,0.88371,0.57802,1.20482,0.6954,0.01155,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,1003.96,1.46383,1.03811,0.01296,0.87949,0.82393,0.89684,0.59197,1.17753,0.65481,0.01113,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,1051.81,1.44753,1.01972,0.01287,0.88793,0.82244,0.90209,0.58258,1.20887,0.64131,0.01114,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,1102.79,1.44405,1.01307,0.01288,0.8726,0.80439,0.8909,0.58425,1.15831,0.65472,0.01064,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,1149.37,1.45639,1.01408,0.01298,0.88414,0.8199,0.8984,0.5914,1.14997,0.67736,0.0108,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,1199.17,1.45397,0.99986,0.01293,0.87171,0.81776,0.89953,0.58967,1.16228,0.69439,0.01107,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,1245.75,1.46618,1.01183,0.01306,0.86267,0.83478,0.90546,0.60468,1.13497,0.66043,0.01046,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,1295.78,1.43176,0.98509,0.01257,0.88746,0.8168,0.90502,0.59216,1.18191,0.63536,0.01107,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,1343.94,1.42447,0.97865,0.01255,0.89359,0.82458,0.90748,0.60427,1.15501,0.6276,0.01068,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,1393.71,1.43544,0.98476,0.01238,0.87231,0.8274,0.90635,0.60616,1.11912,0.64341,0.01018,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,1445.85,1.41379,0.95948,0.0125,0.89571,0.8231,0.90566,0.60284,1.14634,0.62023,0.01057,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,1494.19,1.42505,0.95598,0.01255,0.88887,0.84362,0.91058,0.61926,1.09131,0.6002,0.0098,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,1545.75,1.4282,0.96828,0.01253,0.89808,0.83852,0.91254,0.61416,1.12871,0.62068,0.01036,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,1594.15,1.41358,0.96258,0.01242,0.90845,0.8478,0.91913,0.62712,1.08303,0.57775,0.00991,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,1645.04,1.40999,0.94746,0.01227,0.89325,0.86027,0.91879,0.62403,1.08923,0.59324,0.01001,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,1696.58,1.41108,0.94997,0.01241,0.90307,0.84193,0.91919,0.62507,1.07113,0.60188,0.00968,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,1745.68,1.39551,0.94103,0.01223,0.89509,0.83274,0.90958,0.63113,1.07427,0.60017,0.00971,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,1795.96,1.38888,0.93389,0.01227,0.90593,0.85181,0.92321,0.63128,1.06799,0.56429,0.00958,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,1846.86,1.39522,0.93718,0.01223,0.89518,0.83957,0.91741,0.61615,1.10944,0.59112,0.01016,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
