epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,34.54,1.58901,2.00827,1.2889,0.75238,0.60782,0.68091,0.29847,1.78471,1.47575,1.28543,0.00992,0.00330667,0.00992,0.00330667,0.00992,0.00330667,0.00992,0.00330667
2,63.4304,1.47945,1.24095,1.20241,0.76256,0.61519,0.6877,0.35473,1.58141,1.43062,1.25897,0.0197228,0.00657426,0.0197228,0.00657426,0.0197228,0.00657426,0.0197228,0.00657426
3,92.3096,1.54804,1.23466,1.2331,0.59858,0.44365,0.47559,0.20574,1.95952,2.29037,1.64983,0.0293276,0.00977586,0.0293276,0.00977586,0.0293276,0.00977586,0.0293276,0.00977586
4,121.252,1.56603,1.20477,1.26485,0.7297,0.48583,0.63524,0.31849,1.66818,1.80825,1.4281,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,151.069,1.49267,1.10476,1.2455,0.67182,0.52228,0.59661,0.28185,1.7432,1.32148,1.43755,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,178.97,1.46181,1.04499,1.2124,0.79841,0.68196,0.77913,0.42977,1.45752,1.14987,1.27722,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,208.256,1.39695,0.98553,1.1927,0.82534,0.71217,0.8109,0.47115,1.33917,1.07149,1.22536,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,237.08,1.36614,0.94619,1.17866,0.84479,0.73077,0.83357,0.49577,1.28508,1.03173,1.18116,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,265.288,1.33524,0.90852,1.15756,0.86899,0.77487,0.86154,0.46729,1.46479,0.9008,1.21898,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,294.875,1.32498,0.90088,1.16223,0.89363,0.78818,0.86995,0.47479,1.49437,0.8919,1.24388,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,324.202,1.29449,0.87626,1.14685,0.88011,0.75026,0.85849,0.4734,1.43788,0.8996,1.20491,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,353.446,1.27007,0.85728,1.14329,0.88435,0.75919,0.86301,0.5168,1.23022,0.85036,1.14435,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,382.258,1.27158,0.85132,1.135,0.88714,0.78397,0.8726,0.53505,1.20589,0.79787,1.13472,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,409.839,1.27658,0.84135,1.12548,0.90593,0.78329,0.87486,0.5138,1.37325,0.81954,1.17766,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,438.741,1.22879,0.81874,1.12053,0.8955,0.81319,0.89415,0.56751,1.1442,0.76892,1.09439,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,468.09,1.22404,0.80992,1.11922,0.90875,0.79277,0.88078,0.54092,1.25627,0.8023,1.13039,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,495.894,1.21701,0.79619,1.10964,0.91861,0.8184,0.9039,0.55521,1.22064,0.76189,1.12134,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,524.862,1.20024,0.78734,1.10783,0.89146,0.80033,0.888,0.54467,1.22248,0.73794,1.10219,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,555.395,1.18205,0.77915,1.10656,0.90792,0.8123,0.90138,0.57761,1.13547,0.73641,1.09188,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,584.033,1.19441,0.77622,1.09952,0.91514,0.81407,0.89707,0.571,1.13673,0.72298,1.09354,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,612.217,1.20093,0.77681,1.09543,0.91478,0.81902,0.89661,0.57434,1.12562,0.72293,1.09091,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,641.661,1.15845,0.75762,1.09549,0.91403,0.82867,0.89749,0.53058,1.40398,0.77529,1.16269,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,671.132,1.18999,0.76837,1.09867,0.91592,0.83461,0.91092,0.59157,1.13,0.69611,1.07461,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,700.801,1.16378,0.75394,1.09596,0.92776,0.83721,0.91555,0.5811,1.17228,0.6812,1.07802,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,729.726,1.14936,0.74182,1.09047,0.91787,0.83722,0.91405,0.59735,1.09504,0.66306,1.06089,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,758.925,1.14093,0.73723,1.08461,0.92116,0.83257,0.91175,0.58295,1.14046,0.68408,1.0717,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,789.27,1.13142,0.73414,1.08237,0.91468,0.85481,0.91801,0.60013,1.10817,0.65405,1.06438,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,818.354,1.13617,0.7353,1.08366,0.91681,0.85545,0.9218,0.60556,1.07338,0.6709,1.0505,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,846.563,1.14459,0.72329,1.07059,0.92632,0.84554,0.92015,0.59965,1.11156,0.66258,1.05821,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,876.365,1.11241,0.71614,1.07815,0.92122,0.84402,0.92059,0.60014,1.10538,0.67339,1.05911,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,904.499,1.14398,0.7263,1.07215,0.93345,0.8548,0.92363,0.60626,1.10091,0.64862,1.0521,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,932.587,1.12434,0.71409,1.06781,0.92577,0.84817,0.92051,0.59709,1.09825,0.64712,1.05795,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,962.993,1.10102,0.6999,1.07075,0.92774,0.85005,0.92216,0.6212,1.03581,0.61881,1.03285,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,991.672,1.11792,0.70674,1.06348,0.928,0.85152,0.91946,0.60883,1.071,0.64119,1.04788,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,1020.49,1.11266,0.70685,1.06783,0.921,0.8575,0.92124,0.61797,1.03738,0.61742,1.03817,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,1048.99,1.11552,0.70494,1.07031,0.92235,0.86879,0.92663,0.61683,1.05024,0.6192,1.04332,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,1076.46,1.10513,0.69656,1.05561,0.93484,0.84353,0.9216,0.61992,1.02529,0.61548,1.04277,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
