epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,41.1872,1.63883,2.00975,1.36568,0.685,0.60798,0.6826,0.33128,1.56831,1.3333,1.18166,0.0099359,0.00331197,0.0099359,0.00331197,0.0099359,0.00331197,0.0099359,0.00331197
2,40.2822,1.49003,1.26096,1.23318,0.73511,0.55653,0.65961,0.33087,1.54207,1.24485,1.24351,0.0197385,0.00657951,0.0197385,0.00657951,0.0197385,0.00657951,0.0197385,0.00657951
3,75.0748,1.57657,1.29123,1.28375,0.64585,0.59775,0.61898,0.30923,1.66493,1.58854,1.37968,0.0293432,0.00978106,0.0293432,0.00978106,0.0293432,0.00978106,0.0293432,0.00978106
4,109.641,1.61073,1.26033,1.30134,0.82017,0.70838,0.79954,0.42721,1.43274,1.20403,1.2352,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,146.449,1.51681,1.1543,1.27837,0.83562,0.68606,0.78902,0.41536,1.48431,1.25982,1.2465,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,182.201,1.45952,1.08594,1.25611,0.87027,0.7271,0.82873,0.47758,1.32197,0.92228,1.16542,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,217.079,1.45194,1.0497,1.23236,0.85272,0.76968,0.84318,0.46412,1.41537,1.00756,1.17615,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,252.409,1.40682,1.01142,1.21929,0.86661,0.7496,0.85041,0.46936,1.40062,0.87715,1.16751,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,288.863,1.37584,0.97864,1.20842,0.87611,0.76246,0.86353,0.51781,1.27325,0.85447,1.13738,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,324.588,1.36397,0.9582,1.19643,0.90844,0.81131,0.89141,0.54976,1.14364,0.76865,1.08977,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
