epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,40.1366,1.64105,2.05681,1.33414,0.77262,0.62888,0.70448,0.34608,1.59703,1.3016,1.21394,0.0099359,0.00331197,0.0099359,0.00331197,0.0099359,0.00331197,0.0099359,0.00331197
2,75.4174,1.52204,1.2782,1.23465,0.7719,0.70185,0.76064,0.39878,1.48003,1.17303,1.18408,0.0197385,0.00657951,0.0197385,0.00657951,0.0197385,0.00657951,0.0197385,0.00657951
3,111.19,1.54522,1.2651,1.27442,0.72484,0.47492,0.54852,0.24878,1.78041,2.03075,1.42647,0.0293432,0.00978106,0.0293432,0.00978106,0.0293432,0.00978106,0.0293432,0.00978106
4,147.123,1.58234,1.26276,1.30751,0.71606,0.52191,0.62281,0.32775,1.59085,1.6148,1.33602,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,182.753,1.52938,1.1516,1.27341,0.78746,0.69793,0.78365,0.44311,1.38702,1.26011,1.21467,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,219.564,1.47801,1.09905,1.25949,0.8803,0.73589,0.84212,0.47429,1.37972,0.91175,1.18061,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,255.26,1.44756,1.04545,1.23393,0.82315,0.73745,0.82939,0.48623,1.28701,0.97898,1.16524,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,291.771,1.40164,1.0082,1.22436,0.8731,0.75771,0.85472,0.50591,1.29323,0.851,1.1648,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,325.214,1.40184,0.98727,1.20236,0.88883,0.78288,0.87311,0.51608,1.28077,0.8395,1.13371,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,360.946,1.36381,0.95917,1.1962,0.84926,0.73879,0.82897,0.48741,1.30148,0.86275,1.15514,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,396.064,1.35976,0.94746,1.18659,0.89825,0.81423,0.88801,0.55158,1.1739,0.78266,1.10483,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,430.66,1.33581,0.91753,1.17352,0.89723,0.81714,0.89351,0.53417,1.2613,0.76624,1.12095,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,466.17,1.32459,0.90914,1.17268,0.90486,0.79285,0.88794,0.54834,1.20578,0.76927,1.10337,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,500.156,1.29413,0.89154,1.16502,0.90615,0.82555,0.90554,0.5691,1.14994,0.73952,1.0726,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,536.077,1.27821,0.88051,1.16085,0.88835,0.80874,0.89273,0.56271,1.12987,0.73384,1.07086,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,572.04,1.28803,0.87288,1.15128,0.88893,0.8073,0.89362,0.53638,1.26925,0.78023,1.10535,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,607.126,1.26882,0.8626,1.14728,0.90479,0.80235,0.89895,0.55794,1.16291,0.74719,1.08259,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,642.978,1.23596,0.84309,1.14576,0.9299,0.82771,0.90884,0.56337,1.20722,0.68404,1.07758,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
