epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,37.2276,1.62448,2.08158,1.31749,0.6335,0.53737,0.59629,0.28876,1.64888,1.4081,1.25481,0.00992647,0.00330882,0.00992647,0.00330882,0.00992647,0.00330882,0.00992647,0.00330882
2,68.2962,1.50903,1.28219,1.22603,0.77647,0.64614,0.72542,0.38108,1.43758,1.22864,1.21545,0.0197292,0.0065764,0.0197292,0.0065764,0.0197292,0.0065764,0.0197292,0.0065764
3,101.387,1.54531,1.24416,1.25658,0.69484,0.5752,0.64405,0.30806,1.69906,1.48284,1.38019,0.0293339,0.00977798,0.0293339,0.00977798,0.0293339,0.00977798,0.0293339,0.00977798
4,134.705,1.5744,1.23958,1.29931,0.80644,0.67895,0.75638,0.38879,1.59472,1.18809,1.30428,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,166.826,1.48861,1.11484,1.2537,0.84038,0.74356,0.82507,0.47368,1.35227,1.02313,1.2289,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,197.849,1.46568,1.05679,1.22851,0.85167,0.66757,0.78979,0.44926,1.37162,1.00511,1.20172,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,230.425,1.41348,1.0106,1.22052,0.83159,0.69732,0.80121,0.41711,1.57271,0.98159,1.28532,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,262.774,1.40155,0.98044,1.20078,0.82944,0.73933,0.81529,0.48671,1.28948,0.88642,1.16177,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,296.541,1.35095,0.9534,1.19617,0.86162,0.73812,0.84206,0.51,1.23895,0.92594,1.16002,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,328.108,1.34839,0.9322,1.17483,0.89333,0.78298,0.86769,0.48999,1.38065,0.83229,1.18411,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,359.852,1.33942,0.91619,1.16604,0.87816,0.76327,0.85618,0.48752,1.40187,0.8324,1.17674,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,391.597,1.31175,0.89657,1.16761,0.8768,0.80781,0.88442,0.54378,1.18322,0.8255,1.12023,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,423.812,1.30708,0.88942,1.15697,0.88078,0.79946,0.87802,0.50224,1.35214,0.81049,1.15716,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,454.176,1.30466,0.86872,1.14622,0.89288,0.81553,0.89714,0.56885,1.14697,0.75351,1.08589,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,486.179,1.27461,0.85894,1.14074,0.89555,0.81718,0.89226,0.56199,1.1344,0.73074,1.09064,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,517.819,1.25439,0.84535,1.13901,0.91001,0.79631,0.89021,0.55511,1.19644,0.75897,1.0969,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,550.772,1.22968,0.82842,1.13598,0.90685,0.8321,0.90344,0.57551,1.14131,0.72157,1.07557,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,581.333,1.23285,0.81907,1.11882,0.91508,0.80156,0.8965,0.57883,1.10802,0.71471,1.07508,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,611.947,1.23204,0.81567,1.11732,0.91596,0.82971,0.91001,0.54038,1.31841,0.71723,1.11739,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,643.917,1.21833,0.80695,1.12297,0.9019,0.81576,0.90443,0.59562,1.06836,0.74066,1.05803,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,677.024,1.20123,0.80037,1.11798,0.9137,0.84215,0.91177,0.5782,1.17007,0.68856,1.08091,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,709.218,1.20308,0.79832,1.11747,0.92028,0.84058,0.91582,0.60167,1.08519,0.65674,1.05356,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,740.78,1.19167,0.78091,1.10582,0.92976,0.83565,0.90945,0.60779,1.05167,0.66603,1.04991,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,773.495,1.17549,0.77781,1.11201,0.90754,0.85164,0.91813,0.58856,1.12135,0.66005,1.05945,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,804.213,1.18448,0.77538,1.10357,0.92152,0.84001,0.91205,0.6035,1.0614,0.6691,1.04669,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,836.265,1.16937,0.77021,1.10251,0.91518,0.825,0.90929,0.59432,1.08819,0.65482,1.05603,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,867.974,1.17971,0.7723,1.10135,0.92122,0.851,0.92169,0.61166,1.04641,0.64643,1.0504,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,898.67,1.1736,0.76732,1.09776,0.92619,0.82509,0.91106,0.60136,1.04051,0.64313,1.03784,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,930.311,1.17431,0.75792,1.09559,0.9272,0.8506,0.92032,0.60229,1.0958,0.65123,1.04482,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,961.622,1.15414,0.75114,1.08829,0.92668,0.85301,0.92237,0.59663,1.11217,0.644,1.04705,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,992.463,1.15551,0.74424,1.08858,0.91734,0.85951,0.92657,0.60726,1.09217,0.63272,1.04297,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,1024.61,1.14891,0.74675,1.0942,0.92522,0.86612,0.9253,0.61593,1.07162,0.62246,1.03974,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,1055.38,1.16039,0.7448,1.0858,0.92239,0.85737,0.92211,0.61408,1.007,0.60954,1.03009,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
