epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,97.969,1.49823,2.15692,1.35369,0.82799,0.76418,0.83413,0.48088,1.39075,1.66418,1.22432,0.00997067,0.00332356,0.00997067,0.00332356,0.00997067,0.00332356,0.00997067,0.00332356
2,188.767,1.40284,1.39379,1.28644,0.8155,0.80197,0.83833,0.49304,1.34935,1.43944,1.25249,0.019773,0.00659099,0.019773,0.00659099,0.019773,0.00659099,0.019773,0.00659099
3,269.028,1.45588,1.30779,1.34147,0.75009,0.69267,0.7303,0.41581,1.54046,1.42251,1.42935,0.0293773,0.00979242,0.0293773,0.00979242,0.0293773,0.00979242,0.0293773,0.00979242
4,350.6,1.4945,1.27902,1.39081,0.78588,0.76644,0.81603,0.4825,1.38519,1.03701,1.28836,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,431.492,1.41235,1.15683,1.35415,0.81132,0.76584,0.83063,0.49909,1.33907,0.96448,1.24859,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,514.262,1.3693,1.09155,1.32647,0.86319,0.85277,0.89153,0.56768,1.22957,0.8489,1.19892,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,594.51,1.33139,1.03512,1.30707,0.8824,0.85493,0.90006,0.58941,1.19531,0.74891,1.18537,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,675.976,1.29573,0.9864,1.2895,0.89958,0.8619,0.91097,0.61484,1.16604,0.72371,1.17002,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,755.255,1.27152,0.95335,1.27461,0.88452,0.85428,0.9025,0.59991,1.18524,0.74611,1.19864,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,835.973,1.24415,0.926,1.25928,0.89509,0.87781,0.92106,0.62593,1.14024,0.70357,1.16115,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,917.933,1.22708,0.89848,1.25149,0.88126,0.89566,0.92397,0.63486,1.11236,0.67141,1.15121,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,998.139,1.21435,0.8879,1.24807,0.91361,0.86914,0.91601,0.62174,1.13418,0.69595,1.1572,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1079.14,1.2028,0.87427,1.23717,0.89037,0.90821,0.93192,0.64912,1.07678,0.63107,1.13083,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,1159.75,1.19357,0.86431,1.23693,0.89967,0.90968,0.93295,0.64352,1.09573,0.6329,1.137,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,1241.18,1.17333,0.84617,1.2296,0.91431,0.9023,0.92648,0.63977,1.08984,0.61643,1.12918,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,1321.74,1.1696,0.83163,1.22225,0.90451,0.91012,0.92959,0.65222,1.06885,0.61235,1.13065,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,1402.98,1.16254,0.81623,1.21582,0.9186,0.90461,0.93654,0.65859,1.06267,0.59182,1.11379,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,1482.42,1.14426,0.8117,1.20874,0.91102,0.9092,0.9401,0.65987,1.05486,0.5884,1.11302,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,1563.37,1.12878,0.78788,1.1978,0.91171,0.91651,0.93783,0.67014,1.04724,0.57257,1.11433,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,1643.3,1.12001,0.78599,1.19197,0.91626,0.91876,0.94135,0.67167,1.03501,0.56469,1.09837,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,1724.31,1.1175,0.78088,1.19285,0.9278,0.90318,0.94059,0.67469,1.03345,0.56795,1.10211,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,1804.62,1.10314,0.75939,1.18364,0.91725,0.91331,0.93977,0.67412,1.03836,0.56391,1.10611,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,1885.21,1.10398,0.76364,1.1838,0.9235,0.9127,0.94207,0.67801,1.03231,0.54903,1.10621,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,1966.5,1.09955,0.75558,1.18115,0.9276,0.91227,0.93899,0.67964,1.02477,0.54274,1.0894,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,2047.34,1.08512,0.74352,1.17139,0.92934,0.92155,0.94639,0.68839,1.00641,0.53199,1.08816,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,2128.95,1.08231,0.73778,1.17029,0.92714,0.91997,0.9483,0.69157,1.00334,0.53681,1.09258,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,2209.49,1.07866,0.73199,1.16723,0.93819,0.91343,0.94845,0.68608,1.00201,0.53026,1.08866,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,2290.77,1.07504,0.73166,1.16551,0.93867,0.92173,0.9545,0.69662,0.99359,0.51269,1.08235,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,2372.51,1.06814,0.72098,1.16127,0.93528,0.91837,0.95096,0.69324,1.00452,0.51265,1.09288,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,2452.5,1.05575,0.71546,1.15944,0.92928,0.9201,0.94781,0.6936,0.99597,0.50931,1.08434,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,2535.1,1.0529,0.71155,1.15572,0.93151,0.91887,0.95254,0.6929,0.98973,0.50989,1.0865,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,2615.54,1.04803,0.7041,1.15422,0.92639,0.93295,0.95512,0.69906,0.98557,0.50217,1.07704,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,2697.24,1.04553,0.70621,1.15226,0.92694,0.92813,0.9517,0.70049,0.98139,0.50139,1.08485,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,2777.48,1.02976,0.69441,1.14397,0.93908,0.91826,0.95188,0.70258,0.97394,0.49816,1.07325,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,2859.7,1.03268,0.69107,1.15002,0.92852,0.92938,0.95422,0.70555,0.96822,0.49199,1.07821,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,2940.6,1.02983,0.69256,1.14408,0.93413,0.92636,0.95618,0.70764,0.96633,0.48674,1.07485,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,3021.97,1.02476,0.68424,1.13956,0.93367,0.92888,0.95649,0.71005,0.95957,0.48343,1.06333,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
