epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,47.0585,1.6702,1.99577,1.3592,0.75313,0.75142,0.78502,0.43755,1.46338,1.44236,1.20038,0.00997067,0.00332356,0.00997067,0.00332356,0.00997067,0.00332356,0.00997067,0.00332356
2,87.8726,1.52351,1.31752,1.25252,0.76466,0.74613,0.78019,0.45176,1.4411,1.30015,1.1948,0.019773,0.00659099,0.019773,0.00659099,0.019773,0.00659099,0.019773,0.00659099
3,123.472,1.57203,1.30217,1.30172,0.73161,0.6851,0.74917,0.39785,1.54451,1.38591,1.32237,0.0293773,0.00979242,0.0293773,0.00979242,0.0293773,0.00979242,0.0293773,0.00979242
4,159.098,1.60471,1.28788,1.34487,0.72797,0.63809,0.71671,0.37927,1.62455,1.30234,1.34398,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,194.755,1.51626,1.16834,1.30263,0.83854,0.79067,0.85761,0.5096,1.38356,0.97698,1.21484,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,230.237,1.47652,1.10688,1.28062,0.86918,0.8235,0.87205,0.53545,1.33838,0.86792,1.18281,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,265.181,1.43495,1.05105,1.25399,0.84599,0.85183,0.89013,0.56469,1.25544,0.81765,1.15658,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,300.945,1.39595,0.99335,1.2302,0.88315,0.84822,0.89941,0.57573,1.24123,0.78992,1.14575,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,336.823,1.37361,0.96458,1.2191,0.8813,0.87452,0.90643,0.58639,1.23295,0.74346,1.14878,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,372.332,1.33933,0.93989,1.20336,0.8812,0.84355,0.89636,0.5838,1.21283,0.75408,1.13199,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,406.632,1.32516,0.91916,1.19524,0.88919,0.8821,0.91547,0.60084,1.20618,0.71628,1.12223,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,441.719,1.30449,0.90156,1.18936,0.88894,0.8603,0.90657,0.59071,1.23291,0.71518,1.13866,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,476.723,1.29847,0.89132,1.18383,0.90425,0.85871,0.91454,0.61249,1.17294,0.69264,1.10779,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,511.7,1.29129,0.88009,1.17894,0.9071,0.88015,0.91997,0.61638,1.16509,0.66701,1.09922,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,546.753,1.27947,0.86326,1.17034,0.91454,0.87777,0.92551,0.62724,1.1437,0.64686,1.08442,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,582.015,1.26343,0.85345,1.15988,0.91495,0.88974,0.93115,0.62865,1.13511,0.63905,1.09247,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,617.529,1.25484,0.84257,1.15733,0.90628,0.89179,0.92845,0.63346,1.11158,0.63413,1.08588,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,652.959,1.24464,0.8398,1.1549,0.90733,0.91391,0.93496,0.6465,1.10101,0.60767,1.07602,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,687.947,1.23188,0.81397,1.14526,0.90133,0.89863,0.93036,0.6319,1.12814,0.62967,1.09134,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,723.699,1.21976,0.80975,1.1419,0.91652,0.89039,0.9334,0.64751,1.09046,0.60104,1.0736,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,759.178,1.21473,0.80734,1.14004,0.90759,0.90624,0.93222,0.6421,1.11406,0.60575,1.07594,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,794.319,1.19509,0.78977,1.13113,0.92201,0.89308,0.93345,0.64981,1.09302,0.59208,1.06339,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,829.161,1.20118,0.79269,1.13071,0.91985,0.9041,0.93811,0.65316,1.0761,0.58196,1.06621,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,864.477,1.19284,0.78415,1.12798,0.91634,0.90911,0.93588,0.64991,1.08102,0.59019,1.06102,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,899.625,1.18238,0.77376,1.12535,0.91422,0.91339,0.94089,0.66212,1.04594,0.5711,1.05195,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,934.495,1.18258,0.76882,1.11878,0.92001,0.90769,0.93428,0.65328,1.07019,0.57386,1.0595,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,969.169,1.17447,0.76278,1.119,0.92074,0.90793,0.93784,0.66179,1.05224,0.56252,1.04856,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,1004.26,1.17179,0.76195,1.11399,0.91648,0.90814,0.93771,0.65683,1.06745,0.56959,1.05507,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,1038.92,1.16004,0.75716,1.11149,0.90869,0.90545,0.93645,0.65577,1.05439,0.57147,1.04993,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,1073.76,1.15441,0.7513,1.10983,0.91323,0.91894,0.93931,0.66884,1.04362,0.55636,1.04722,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,1107.43,1.14803,0.74507,1.1056,0.91049,0.91901,0.9413,0.66792,1.04799,0.55802,1.04682,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,1141.73,1.14597,0.73837,1.10466,0.92527,0.90919,0.93781,0.67466,1.0324,0.54863,1.04437,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,1176.33,1.13991,0.73726,1.1021,0.91677,0.91228,0.94114,0.67234,1.0284,0.54502,1.04059,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,1210.92,1.1301,0.72601,1.09746,0.92128,0.91908,0.94266,0.67748,1.01786,0.52825,1.03585,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,1245.49,1.13051,0.72411,1.10105,0.91732,0.9133,0.94201,0.67332,1.02381,0.54205,1.04307,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,1279.89,1.124,0.72514,1.09513,0.93167,0.91054,0.94116,0.67366,1.03431,0.53377,1.04021,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,1314.23,1.12245,0.71957,1.09258,0.92479,0.91302,0.94332,0.67686,1.01784,0.53237,1.03149,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,1348.71,1.11481,0.71182,1.09137,0.92941,0.9139,0.94445,0.68138,1.01683,0.52306,1.0338,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,1383.43,1.10919,0.71157,1.08862,0.92759,0.91685,0.94738,0.68392,1.00908,0.51593,1.02799,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,1418.19,1.1038,0.70477,1.08392,0.93075,0.89869,0.94418,0.68387,1.00728,0.52023,1.0281,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,1452.61,1.09925,0.70206,1.08363,0.93058,0.91432,0.9478,0.68795,1.00454,0.51283,1.02964,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,1487.39,1.10267,0.70419,1.08463,0.92774,0.9161,0.94899,0.68895,1.00122,0.51017,1.02453,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,1521.57,1.09507,0.69488,1.08073,0.9287,0.92055,0.94687,0.68768,1.00018,0.50663,1.02379,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,1556.01,1.08927,0.68808,1.07858,0.92409,0.92429,0.948,0.68785,1.00089,0.5047,1.02713,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,1590.81,1.08925,0.68997,1.0799,0.92411,0.91773,0.95011,0.69496,0.99464,0.49987,1.02173,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,1625.41,1.08433,0.68211,1.0768,0.92664,0.92364,0.95129,0.69368,0.99195,0.49972,1.02277,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,1660.05,1.07817,0.68313,1.07282,0.93489,0.92382,0.95591,0.69525,0.99095,0.5008,1.02134,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,1694.49,1.07694,0.68256,1.07251,0.93657,0.91182,0.95574,0.69555,0.98731,0.49706,1.0185,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,1729.19,1.0735,0.67543,1.07443,0.92742,0.92255,0.95377,0.69874,0.98646,0.49545,1.0222,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,1763.54,1.06649,0.66967,1.07256,0.93284,0.92194,0.95205,0.69746,0.98678,0.49605,1.01842,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,1798.05,1.06308,0.67292,1.06904,0.93462,0.92127,0.95506,0.6976,0.98282,0.48823,1.01681,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,1832.41,1.05927,0.66284,1.06233,0.93377,0.92449,0.95879,0.70159,0.98102,0.49347,1.01633,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,1866.75,1.06119,0.66487,1.06588,0.94046,0.92085,0.9566,0.70401,0.97453,0.48562,1.01475,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,1901.12,1.05304,0.65687,1.06294,0.93905,0.92201,0.95751,0.70357,0.97493,0.48272,1.01727,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,1935.02,1.04732,0.65679,1.06099,0.93515,0.92216,0.95826,0.70482,0.97043,0.48309,1.01413,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,1969.73,1.04381,0.64872,1.05853,0.93502,0.91924,0.95654,0.70434,0.97213,0.47973,1.01208,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,2004.38,1.05199,0.6594,1.06157,0.93526,0.91818,0.95859,0.70448,0.97086,0.477,1.012,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,2039.19,1.04003,0.6467,1.058,0.9246,0.93054,0.95954,0.70693,0.97063,0.47793,1.01026,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,2073.97,1.03021,0.64378,1.05433,0.92931,0.92767,0.9603,0.70577,0.97534,0.47505,1.01138,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,2108.42,1.03578,0.63928,1.05663,0.92916,0.93253,0.95869,0.70711,0.96865,0.4709,1.01053,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,2142.9,1.02729,0.64149,1.05052,0.93532,0.92623,0.95776,0.7079,0.96286,0.46744,1.00793,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,2177.72,1.02706,0.6351,1.05106,0.93918,0.9253,0.96075,0.71043,0.96333,0.46631,1.00734,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,2212.66,1.01991,0.63405,1.05406,0.94165,0.91766,0.96081,0.70997,0.96291,0.46475,1.00774,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,2247.58,1.02013,0.63233,1.05009,0.93743,0.92424,0.96002,0.70867,0.96082,0.46365,1.00728,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,2281.98,1.01045,0.62632,1.0477,0.94533,0.92307,0.96148,0.70896,0.96082,0.46142,1.00731,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,2315.89,1.0125,0.61912,1.04265,0.94594,0.92159,0.96087,0.71116,0.95802,0.46161,1.00499,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,2350.52,1.01496,0.62733,1.04704,0.94482,0.92392,0.96059,0.71173,0.95792,0.46093,1.00515,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,2385.31,1.00873,0.62172,1.04205,0.94472,0.91964,0.96247,0.71323,0.95933,0.46167,1.00531,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,2419.94,0.99486,0.61525,1.03821,0.94125,0.92158,0.96237,0.71179,0.95771,0.46148,1.00551,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,2454.62,0.99449,0.61286,1.04028,0.9455,0.91684,0.96069,0.71208,0.95706,0.46073,1.00631,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,2489.03,1.00171,0.6159,1.04051,0.9502,0.91542,0.96077,0.71358,0.95758,0.46204,1.00625,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,2523.44,0.99215,0.60936,1.03693,0.94609,0.92109,0.96158,0.71536,0.9573,0.46027,1.00606,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
