epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.8349,0.80245,0.49991,0.97413,0.92888,0.92529,0.94054,0.71366,0.74186,0.50541,0.96038,0.00165742,0.00165742,0.00165742
2,51.7842,0.88852,0.56776,1.00653,0.92477,0.92652,0.93847,0.71164,0.75374,0.49654,0.954,0.00162574,0.00162574,0.00162574
3,75.5361,0.89398,0.57188,1.01104,0.93165,0.91974,0.93177,0.69739,0.7863,0.52642,0.96822,0.00158448,0.00158448,0.00158448
4,99.3709,0.89021,0.5677,1.00659,0.93944,0.92139,0.94444,0.72204,0.73517,0.48027,0.9516,0.00154323,0.00154323,0.00154323
5,123.226,0.87866,0.5607,1.00513,0.92449,0.92807,0.94481,0.71751,0.74459,0.49146,0.95889,0.00150197,0.00150197,0.00150197
6,147.208,0.87736,0.55623,1.0046,0.93949,0.92304,0.94273,0.71436,0.75083,0.4886,0.96145,0.00146071,0.00146071,0.00146071
7,170.967,0.87085,0.54945,1.00127,0.9342,0.93175,0.94802,0.71953,0.74258,0.47356,0.95016,0.00141945,0.00141945,0.00141945
8,194.865,0.86479,0.54652,0.99913,0.93533,0.93433,0.9451,0.72102,0.73574,0.47715,0.94913,0.00137819,0.00137819,0.00137819
9,218.888,0.86399,0.54514,0.99898,0.9366,0.93348,0.94281,0.71905,0.72938,0.4666,0.94756,0.00133693,0.00133693,0.00133693
10,242.954,0.86289,0.54384,0.99667,0.937,0.93188,0.945,0.7201,0.73431,0.47283,0.94703,0.00129568,0.00129568,0.00129568
11,266.954,0.85485,0.53622,0.99448,0.93738,0.93372,0.94786,0.73289,0.71212,0.46118,0.93922,0.00125442,0.00125442,0.00125442
12,291.028,0.85072,0.53366,0.99386,0.93918,0.9147,0.94532,0.73186,0.70898,0.46832,0.93919,0.00121316,0.00121316,0.00121316
13,315.06,0.84075,0.52561,0.98961,0.94076,0.93006,0.94484,0.72259,0.73023,0.46687,0.94086,0.0011719,0.0011719,0.0011719
14,339.152,0.84399,0.52596,0.99129,0.94384,0.92804,0.94856,0.73324,0.70711,0.45486,0.9391,0.00113064,0.00113064,0.00113064
15,363.209,0.8375,0.52087,0.98967,0.94084,0.93318,0.94656,0.73172,0.71066,0.45482,0.94241,0.00108938,0.00108938,0.00108938
16,387.232,0.83006,0.51602,0.98525,0.94326,0.93244,0.94893,0.73655,0.69712,0.45074,0.9363,0.00104813,0.00104813,0.00104813
17,411.317,0.82853,0.5153,0.98335,0.95,0.92948,0.94913,0.74069,0.6919,0.44638,0.93426,0.00100687,0.00100687,0.00100687
18,435.243,0.82419,0.50731,0.98196,0.93951,0.93874,0.95026,0.73803,0.70225,0.449,0.93789,0.00096561,0.00096561,0.00096561
19,459.143,0.81484,0.5038,0.97925,0.94568,0.93442,0.94943,0.73555,0.69967,0.44171,0.93632,0.000924352,0.000924352,0.000924352
20,482.962,0.81971,0.50644,0.98022,0.93816,0.93559,0.94881,0.73736,0.69365,0.44036,0.93464,0.000883093,0.000883093,0.000883093
21,506.899,0.81193,0.49949,0.97964,0.94313,0.93538,0.94907,0.74388,0.68964,0.43631,0.93302,0.000841835,0.000841835,0.000841835
22,530.808,0.80894,0.49956,0.97712,0.94764,0.93212,0.9504,0.74333,0.68464,0.43722,0.93305,0.000800577,0.000800577,0.000800577
23,554.882,0.80176,0.49277,0.97219,0.94148,0.93566,0.94844,0.74315,0.68326,0.43224,0.93011,0.000759318,0.000759318,0.000759318
24,579.022,0.79926,0.49094,0.97434,0.93874,0.93683,0.95189,0.74706,0.68508,0.43426,0.9329,0.00071806,0.00071806,0.00071806
25,603.173,0.79596,0.48761,0.97134,0.94682,0.92747,0.95163,0.74615,0.68036,0.42692,0.92855,0.000676802,0.000676802,0.000676802
26,627.107,0.79782,0.48928,0.97314,0.93957,0.94017,0.95376,0.74391,0.68252,0.43224,0.9329,0.000635544,0.000635544,0.000635544
27,651.034,0.78293,0.4791,0.96686,0.94655,0.9353,0.95282,0.74801,0.67936,0.42273,0.93019,0.000594286,0.000594286,0.000594286
28,675.053,0.78316,0.48136,0.96802,0.94692,0.93396,0.9528,0.7485,0.67568,0.42588,0.92865,0.000553027,0.000553027,0.000553027
29,699.175,0.77826,0.4754,0.96534,0.94067,0.94427,0.95198,0.74682,0.6809,0.42241,0.93022,0.000511769,0.000511769,0.000511769
30,723.159,0.77377,0.47065,0.96432,0.94045,0.94177,0.95258,0.74867,0.67359,0.42197,0.92784,0.000470511,0.000470511,0.000470511
31,747.959,0.68751,0.39813,0.92542,0.93779,0.94036,0.95211,0.7477,0.67964,0.42585,0.93101,0.000429253,0.000429253,0.000429253
32,771.871,0.67577,0.39021,0.92166,0.93785,0.94686,0.95122,0.75088,0.67095,0.42176,0.9265,0.000387994,0.000387994,0.000387994
33,795.955,0.66585,0.38315,0.918,0.9438,0.93719,0.9537,0.75253,0.67208,0.41739,0.92721,0.000346736,0.000346736,0.000346736
34,820.041,0.66035,0.38001,0.91651,0.94508,0.93988,0.95242,0.75078,0.66879,0.4167,0.92747,0.000305478,0.000305478,0.000305478
35,844.076,0.65778,0.37675,0.91649,0.94301,0.94046,0.95284,0.75274,0.67003,0.41731,0.92698,0.00026422,0.00026422,0.00026422
36,868.008,0.64916,0.37268,0.91086,0.94599,0.94082,0.95373,0.75353,0.66744,0.41412,0.92635,0.000222961,0.000222961,0.000222961
