epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.9749,0.81266,0.50948,0.98572,0.9407,0.931,0.94774,0.7305,0.72429,0.46111,0.94239,0.00165789,0.00165789,0.00165789
2,52.8761,0.86271,0.54915,0.99996,0.93556,0.93743,0.9486,0.72298,0.74416,0.46926,0.94907,0.00162574,0.00162574,0.00162574
3,77.5742,0.86985,0.55488,1.00572,0.94035,0.92841,0.94797,0.73082,0.71913,0.46647,0.94332,0.00158448,0.00158448,0.00158448
4,102.34,0.86458,0.54894,1.0022,0.93778,0.93038,0.94795,0.72381,0.73034,0.46712,0.9445,0.00154323,0.00154323,0.00154323
5,127.025,0.86217,0.5493,1.00206,0.94252,0.93109,0.94722,0.72719,0.72234,0.45765,0.94395,0.00150197,0.00150197,0.00150197
6,151.797,0.86475,0.5479,1.00353,0.93527,0.93123,0.94787,0.72716,0.71848,0.4572,0.94175,0.00146071,0.00146071,0.00146071
7,177.674,0.86032,0.54546,1.0005,0.94059,0.9348,0.94671,0.73042,0.72054,0.45738,0.94155,0.00141945,0.00141945,0.00141945
8,202.331,0.85616,0.54012,0.99931,0.93194,0.93338,0.94664,0.72695,0.71889,0.46398,0.94271,0.00137819,0.00137819,0.00137819
9,227.232,0.84309,0.53291,0.99372,0.93342,0.93886,0.94669,0.72766,0.70773,0.45662,0.93741,0.00133693,0.00133693,0.00133693
10,251.963,0.84587,0.53039,0.99539,0.94886,0.92606,0.94771,0.73694,0.70415,0.44062,0.93322,0.00129568,0.00129568,0.00129568
11,276.702,0.84242,0.53169,0.99365,0.9393,0.92579,0.94507,0.72478,0.71815,0.4609,0.93987,0.00125442,0.00125442,0.00125442
12,302.459,0.83204,0.52602,0.99187,0.94138,0.93299,0.94695,0.73369,0.71213,0.44658,0.93865,0.00121316,0.00121316,0.00121316
13,327.182,0.8353,0.52631,0.99049,0.94091,0.93722,0.95077,0.73866,0.69497,0.43622,0.93478,0.0011719,0.0011719,0.0011719
14,351.911,0.83124,0.52046,0.98987,0.94299,0.9304,0.94911,0.73273,0.7018,0.45158,0.93896,0.00113064,0.00113064,0.00113064
15,376.592,0.82809,0.52047,0.98672,0.9438,0.93598,0.94751,0.73696,0.69036,0.43773,0.93455,0.00108938,0.00108938,0.00108938
16,401.315,0.81756,0.51027,0.98341,0.9406,0.93227,0.94954,0.74037,0.69014,0.43255,0.93219,0.00104813,0.00104813,0.00104813
17,427.095,0.81389,0.507,0.98235,0.94405,0.93541,0.95249,0.74619,0.68624,0.42779,0.92943,0.00100687,0.00100687,0.00100687
18,451.726,0.81028,0.50153,0.98045,0.94196,0.93531,0.9503,0.74652,0.68535,0.43297,0.92788,0.00096561,0.00096561,0.00096561
19,476.399,0.80932,0.50429,0.97862,0.94579,0.93672,0.95038,0.74386,0.68198,0.43365,0.9288,0.000924352,0.000924352,0.000924352
20,501.127,0.80936,0.50394,0.98134,0.94669,0.9366,0.95202,0.74644,0.68403,0.42804,0.92966,0.000883093,0.000883093,0.000883093
21,525.923,0.8051,0.4999,0.97975,0.93959,0.94064,0.95044,0.74249,0.68465,0.4331,0.93085,0.000841835,0.000841835,0.000841835
22,551.78,0.80456,0.49601,0.97629,0.93977,0.94091,0.95045,0.74552,0.67459,0.42635,0.92495,0.000800577,0.000800577,0.000800577
