epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,56.9396,1.45152,2.59321,0.01322,0.63532,0.58683,0.64971,0.4489,1.04211,1.75709,0.00989,0.00994536,0.00331512,0.00994536,0.00331512,0.00994536,0.00331512,0.00994536,0.00331512
2,107.095,1.32575,1.46048,0.01144,0.7582,0.67499,0.75082,0.45961,1.23986,1.23795,0.01158,0.0197479,0.00658263,0.0197479,0.00658263,0.0197479,0.00658263,0.0197479,0.00658263
3,157.652,1.38901,1.21217,0.01216,0.77232,0.72842,0.77585,0.46236,1.41516,1.14051,0.01389,0.0293524,0.00978415,0.0293524,0.00978415,0.0293524,0.00978415,0.0293524,0.00978415
4,207.391,1.43018,1.12239,0.01272,0.80156,0.75138,0.80805,0.48482,1.33867,0.89259,0.01422,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,257.329,1.39289,1.04959,0.01235,0.85115,0.807,0.86633,0.56566,1.21131,0.76612,0.01264,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,307.017,1.37005,0.99723,0.01201,0.83348,0.78518,0.84456,0.53059,1.26492,0.77198,0.01236,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,356.644,1.34313,0.95508,0.01175,0.86161,0.83956,0.88461,0.58667,1.14616,0.68759,0.01169,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,406.166,1.32203,0.91686,0.01151,0.86175,0.85177,0.89345,0.61495,1.06552,0.65874,0.01018,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,455.151,1.29482,0.89211,0.0112,0.86645,0.86521,0.89227,0.59719,1.12094,0.63141,0.0112,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,504.892,1.28818,0.87495,0.01121,0.86072,0.8124,0.86281,0.58118,1.11168,0.72345,0.01085,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,554.328,1.26707,0.86834,0.01101,0.88035,0.87331,0.91032,0.6469,0.99573,0.57434,0.00966,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,603.375,1.25193,0.83392,0.01082,0.86955,0.88177,0.91242,0.64722,0.96415,0.58445,0.00906,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,652.116,1.24426,0.8199,0.01067,0.89134,0.88617,0.91694,0.64715,1.00958,0.54523,0.00985,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,702.034,1.23781,0.81479,0.01066,0.87249,0.81951,0.87984,0.61352,1.01723,0.6749,0.00997,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,751.308,1.23344,0.82137,0.01046,0.88422,0.88199,0.91676,0.65265,0.95204,0.57621,0.00914,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,799.976,1.21032,0.77968,0.01035,0.89453,0.89215,0.92065,0.66649,0.92063,0.52494,0.00865,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,849.336,1.20631,0.77212,0.01025,0.89641,0.88276,0.92199,0.65973,0.96172,0.53435,0.00895,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,899.005,1.18696,0.76344,0.01006,0.90899,0.86691,0.91543,0.66146,0.9147,0.54391,0.00861,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,948.4,1.1939,0.76266,0.01012,0.89335,0.88762,0.91681,0.67029,0.92785,0.52825,0.00905,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
