epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.863,0.78576,0.48828,0.97341,0.94115,0.93818,0.95259,0.74349,0.69129,0.44632,0.93301,0.00055263,0.00055263,0.00055263
2,59.2509,0.83563,0.52596,0.98998,0.92665,0.93365,0.94718,0.72854,0.72328,0.47499,0.9439,0.00108087,0.00108087,0.00108087
3,85.544,0.89051,0.56792,1.01207,0.92294,0.92126,0.93944,0.7064,0.75871,0.504,0.9527,0.0015816,0.0015816,0.0015816
4,111.698,0.91027,0.5859,1.02016,0.92543,0.92398,0.94065,0.70313,0.76042,0.50976,0.96058,0.00154323,0.00154323,0.00154323
5,137.85,0.90649,0.58611,1.02039,0.9339,0.92207,0.94332,0.71793,0.7439,0.49044,0.95107,0.00150197,0.00150197,0.00150197
6,164.099,0.90873,0.58187,1.01988,0.92766,0.92099,0.94172,0.71464,0.7474,0.49221,0.94853,0.00146071,0.00146071,0.00146071
7,191.58,0.90355,0.57952,1.01867,0.93965,0.92477,0.9434,0.71936,0.74554,0.4799,0.94767,0.00141945,0.00141945,0.00141945
8,217.79,0.89833,0.57484,1.01643,0.93415,0.92797,0.9462,0.72067,0.74146,0.48469,0.94957,0.00137819,0.00137819,0.00137819
9,244.01,0.88714,0.56776,1.01118,0.93013,0.93082,0.94614,0.70855,0.75939,0.48609,0.95642,0.00133693,0.00133693,0.00133693
10,270.207,0.88474,0.56318,1.01001,0.93795,0.92358,0.94463,0.72556,0.73259,0.46835,0.94524,0.00129568,0.00129568,0.00129568
11,296.475,0.87698,0.56289,1.00858,0.93348,0.92665,0.94825,0.72442,0.7456,0.48021,0.94797,0.00125442,0.00125442,0.00125442
12,322.902,0.87241,0.55861,1.00652,0.93985,0.93381,0.94813,0.7316,0.72493,0.46524,0.93712,0.00121316,0.00121316,0.00121316
13,349.222,0.87086,0.55602,1.0049,0.93242,0.93045,0.94591,0.73005,0.71866,0.46699,0.94179,0.0011719,0.0011719,0.0011719
14,376.467,0.8664,0.55122,1.00449,0.93198,0.93387,0.94838,0.73183,0.7171,0.46861,0.93965,0.00113064,0.00113064,0.00113064
15,402.563,0.86837,0.54978,1.00223,0.93848,0.93546,0.94892,0.7372,0.71112,0.4564,0.9389,0.00108938,0.00108938,0.00108938
16,428.632,0.8519,0.54024,0.99691,0.93108,0.93623,0.95151,0.73615,0.70486,0.46121,0.93376,0.00104813,0.00104813,0.00104813
17,454.873,0.8493,0.54081,0.99523,0.94005,0.92449,0.94548,0.73463,0.70055,0.45925,0.93142,0.00100687,0.00100687,0.00100687
