epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,44.2692,1.59296,1.95158,1.28972,0.688,0.61208,0.67365,0.31344,1.71315,1.3733,1.24932,0.0099359,0.00331197,0.0099359,0.00331197,0.0099359,0.00331197,0.0099359,0.00331197
2,81.32,1.46543,1.21955,1.2077,0.7997,0.68343,0.7681,0.33433,1.88744,1.40238,1.36818,0.0197385,0.00657951,0.0197385,0.00657951,0.0197385,0.00657951,0.0197385,0.00657951
3,121.524,1.52375,1.20886,1.24545,0.62422,0.45559,0.49983,0.22015,1.99249,1.62621,1.60854,0.0293432,0.00978106,0.0293432,0.00978106,0.0293432,0.00978106,0.0293432,0.00978106
4,156.29,1.55049,1.18262,1.27701,0.74985,0.66273,0.74073,0.38093,1.57391,1.37892,1.29427,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,189.128,1.48639,1.0731,1.24032,0.82796,0.65677,0.75966,0.43112,1.36591,1.04314,1.21158,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,224.147,1.41609,1.01639,1.2248,0.83633,0.70887,0.80312,0.44784,1.46381,0.9794,1.19337,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,257.945,1.38934,0.9629,1.19905,0.81869,0.67485,0.77655,0.44191,1.44,0.9519,1.18884,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,292.574,1.36263,0.93902,1.19223,0.89687,0.78455,0.88226,0.51861,1.30021,0.81363,1.14178,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,328.258,1.32764,0.90203,1.17792,0.88998,0.78403,0.87673,0.52847,1.20495,0.81043,1.1269,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,362.81,1.30153,0.88183,1.1625,0.87326,0.75494,0.851,0.4802,1.43398,0.82976,1.17775,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,396.844,1.30368,0.86607,1.1477,0.88365,0.78965,0.87312,0.54827,1.16808,0.74752,1.0845,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,430.916,1.26212,0.84005,1.14632,0.89042,0.78689,0.87764,0.53373,1.21466,0.7892,1.10538,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,466.165,1.25259,0.83538,1.14108,0.8903,0.82436,0.89919,0.55845,1.18295,0.71681,1.07803,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,500.603,1.2324,0.81382,1.1316,0.90561,0.82095,0.89493,0.56807,1.14058,0.72025,1.07653,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,536.265,1.21528,0.81047,1.13563,0.907,0.8257,0.90006,0.55709,1.18012,0.70905,1.08608,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,569.66,1.23398,0.80733,1.12744,0.90613,0.82629,0.90628,0.58019,1.11849,0.70987,1.07213,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,602.793,1.20938,0.79038,1.1167,0.90322,0.83613,0.91121,0.59334,1.09806,0.6734,1.06117,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,638.864,1.19417,0.78273,1.12397,0.91937,0.83069,0.90813,0.58765,1.10082,0.67297,1.05548,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,672.764,1.18578,0.77785,1.10823,0.89941,0.8211,0.90931,0.58386,1.095,0.67787,1.05465,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
