epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,43.7233,1.65621,2.01094,1.33732,0.77547,0.6378,0.71442,0.33203,1.70163,1.28183,1.24471,0.0099359,0.00331197,0.0099359,0.00331197,0.0099359,0.00331197,0.0099359,0.00331197
2,82.3483,1.52131,1.27889,1.24656,0.76069,0.66866,0.73931,0.38612,1.50377,1.31224,1.20912,0.0197385,0.00657951,0.0197385,0.00657951,0.0197385,0.00657951,0.0197385,0.00657951
3,117.866,1.58183,1.2763,1.2778,0.63956,0.53319,0.55962,0.28877,1.65871,1.66692,1.45267,0.0293432,0.00978106,0.0293432,0.00978106,0.0293432,0.00978106,0.0293432,0.00978106
4,153.853,1.61114,1.27139,1.31739,0.63767,0.52763,0.59352,0.31963,1.53381,1.74704,1.32281,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,187.114,1.54411,1.15171,1.27215,0.82409,0.72805,0.81108,0.45928,1.38236,1.02924,1.18003,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,221.369,1.48374,1.08949,1.25423,0.84981,0.71149,0.80004,0.42328,1.49265,1.10267,1.23463,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,255.469,1.44972,1.04072,1.23403,0.83118,0.68199,0.78049,0.37213,1.70305,0.97287,1.29777,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,289.996,1.4117,1.01556,1.22569,0.89099,0.77556,0.86411,0.50634,1.30218,0.82374,1.15065,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,325.016,1.38985,0.98664,1.21582,0.8711,0.75962,0.85903,0.48991,1.39737,0.8576,1.17047,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,359.75,1.3779,0.95846,1.19756,0.85429,0.77199,0.86262,0.52066,1.22997,0.88976,1.13134,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,393.931,1.3746,0.94944,1.19283,0.87462,0.78991,0.87281,0.52034,1.26778,0.79639,1.13475,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,429.014,1.33662,0.92882,1.18876,0.88778,0.78443,0.86849,0.54011,1.19296,0.7795,1.11036,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,464.471,1.31928,0.9072,1.17367,0.91353,0.79857,0.88914,0.54374,1.21518,0.72924,1.09252,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,498.378,1.30646,0.89194,1.16505,0.88192,0.79793,0.88517,0.55037,1.15279,0.78472,1.07867,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,533.282,1.28949,0.8896,1.16938,0.90505,0.81371,0.89346,0.56986,1.09319,0.72784,1.06484,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,567.359,1.28242,0.86811,1.14995,0.90984,0.81245,0.90391,0.58733,1.08365,0.6897,1.05676,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,601.07,1.28605,0.86815,1.14981,0.92363,0.8363,0.91007,0.57003,1.17495,0.72289,1.0744,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,637.354,1.25015,0.8567,1.15116,0.90986,0.83499,0.9117,0.5736,1.16445,0.67559,1.0636,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,671.65,1.26151,0.84374,1.14471,0.89903,0.81162,0.89283,0.57719,1.11739,0.69901,1.05834,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,707.022,1.2343,0.83226,1.1421,0.92252,0.83308,0.9103,0.59742,1.03946,0.66383,1.03938,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,742.164,1.22159,0.82505,1.13695,0.89807,0.81845,0.90498,0.58474,1.09782,0.69054,1.04885,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,778.341,1.23421,0.8318,1.14112,0.92391,0.84879,0.92049,0.59336,1.10883,0.67341,1.0494,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,812.597,1.21952,0.81032,1.12982,0.92253,0.84167,0.91179,0.58421,1.09215,0.65509,1.04718,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,847.542,1.21817,0.81214,1.13114,0.91524,0.83269,0.91364,0.59917,1.064,0.64352,1.04322,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,882.609,1.22663,0.81036,1.12425,0.91868,0.85211,0.92778,0.59274,1.11813,0.64518,1.04982,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,917.321,1.1993,0.79652,1.12318,0.9264,0.85816,0.9281,0.61061,1.03309,0.62687,1.03013,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,952.222,1.1927,0.79179,1.12104,0.92242,0.85884,0.92501,0.60674,1.05526,0.61801,1.03435,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,985.999,1.20255,0.79429,1.11661,0.91295,0.86313,0.92678,0.60425,1.05955,0.63324,1.03326,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,1019.33,1.19086,0.78745,1.11011,0.92148,0.85365,0.92258,0.60427,1.05881,0.62246,1.03623,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,1053,1.18281,0.78004,1.10971,0.92066,0.85793,0.92673,0.61121,1.05546,0.60723,1.02028,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,1088.62,1.18645,0.77751,1.10678,0.92877,0.84278,0.92544,0.61487,1.04594,0.61123,1.02454,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,1122.15,1.17352,0.76917,1.10967,0.93011,0.86295,0.93051,0.62354,0.99654,0.59481,1.01234,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,1156.74,1.17591,0.77439,1.10678,0.9325,0.8604,0.92994,0.62115,1.01558,0.59187,1.01678,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,1191.01,1.169,0.76347,1.1014,0.93058,0.85511,0.93034,0.62814,0.98814,0.59745,1.01227,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,1225.31,1.16625,0.76585,1.104,0.92968,0.87371,0.93366,0.62822,1.00152,0.59321,1.00696,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,1259.83,1.15142,0.75195,1.10012,0.93072,0.86647,0.9325,0.63622,0.98696,0.58611,1.01174,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,1294.08,1.16197,0.754,1.09744,0.9323,0.86428,0.92997,0.63332,0.98189,0.59559,1.00698,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,1328.34,1.1521,0.7556,1.09708,0.93186,0.86749,0.93349,0.63291,0.97695,0.5742,1.00451,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,1363.76,1.1438,0.7448,1.09398,0.93017,0.87523,0.93539,0.63454,0.98132,0.57228,1.00325,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,1398.28,1.14584,0.74935,1.09792,0.93717,0.86022,0.93411,0.63962,0.97771,0.57303,1.0103,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
