epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,38.5125,1.36647,1.6819,1.1769,0.77512,0.65235,0.71267,0.46796,1.09686,1.20209,1.04934,0.0099359,0.00331197,0.0099359,0.00331197,0.0099359,0.00331197,0.0099359,0.00331197
2,73.4649,1.29954,1.0437,1.12034,0.78948,0.67508,0.76488,0.44266,1.33624,1.15779,1.18465,0.0197385,0.00657951,0.0197385,0.00657951,0.0197385,0.00657951,0.0197385,0.00657951
3,106.215,1.36499,1.0592,1.16533,0.68897,0.52885,0.59152,0.3262,1.52183,1.4824,1.39595,0.0293432,0.00978106,0.0293432,0.00978106,0.0293432,0.00978106,0.0293432,0.00978106
4,138.937,1.38547,1.04142,1.18952,0.80504,0.6171,0.71142,0.41845,1.40137,1.10182,1.30604,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,171.431,1.32415,0.95617,1.16462,0.85672,0.73439,0.82544,0.50144,1.24738,0.91461,1.18865,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,203.755,1.26979,0.89503,1.14577,0.86142,0.76837,0.86271,0.5437,1.17744,0.82287,1.15563,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,235.953,1.23732,0.85145,1.12569,0.84955,0.7554,0.84161,0.54292,1.11796,0.80658,1.11246,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,268.334,1.20638,0.82105,1.11174,0.84717,0.75063,0.84255,0.54606,1.07287,0.84997,1.08641,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,300.402,1.18683,0.79931,1.10223,0.91459,0.80369,0.88655,0.58357,1.06773,0.71048,1.08497,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,332.174,1.16041,0.77594,1.09063,0.88224,0.81534,0.89004,0.57398,1.11844,0.71081,1.0863,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,364.286,1.14919,0.76497,1.08161,0.89607,0.83797,0.90252,0.59737,1.03298,0.67595,1.06923,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,395.707,1.1366,0.75069,1.08043,0.88313,0.82455,0.89962,0.59651,1.04576,0.70621,1.07916,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,426.8,1.12065,0.7366,1.07124,0.90975,0.82214,0.9061,0.61058,0.98354,0.64312,1.04805,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,458.826,1.11032,0.72499,1.06719,0.93324,0.84239,0.91738,0.62603,0.99059,0.62843,1.05053,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,490.718,1.10499,0.72398,1.0676,0.9148,0.84336,0.91119,0.61743,0.99439,0.63301,1.04709,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,523.006,1.10232,0.71869,1.06403,0.92768,0.84547,0.9193,0.62428,0.96969,0.60397,1.03239,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,555.093,1.08342,0.7043,1.05715,0.89502,0.85642,0.91675,0.62623,0.96839,0.61523,1.03627,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,586.947,1.07998,0.70179,1.0567,0.92599,0.83526,0.91718,0.62693,0.97363,0.61031,1.03703,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,619.156,1.06387,0.69021,1.04974,0.92019,0.81683,0.91176,0.61805,0.98803,0.62379,1.04411,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,651.674,1.0658,0.68173,1.04747,0.91706,0.82685,0.90665,0.6268,0.96547,0.59368,1.03643,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,683.757,1.05201,0.67413,1.04291,0.91175,0.85991,0.93093,0.64458,0.93537,0.5816,1.02105,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,716.03,1.04993,0.66888,1.0409,0.92348,0.85301,0.92449,0.63719,0.93725,0.58544,1.02614,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,747.503,1.04422,0.66235,1.04021,0.91981,0.85581,0.92554,0.64988,0.91778,0.56574,1.0184,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,779.163,1.03255,0.6589,1.03871,0.91726,0.84077,0.92589,0.65085,0.93475,0.56325,1.02023,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,810.994,1.0355,0.65938,1.03888,0.91979,0.85652,0.92617,0.64443,0.92238,0.56303,1.01824,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,842.515,1.02546,0.64872,1.03189,0.93537,0.85358,0.92631,0.64517,0.93143,0.57178,1.02173,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,874.882,1.02421,0.65116,1.03491,0.90788,0.86402,0.9256,0.65184,0.90468,0.56787,1.01019,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,907.052,1.02216,0.64762,1.02902,0.91813,0.85552,0.92634,0.64483,0.91901,0.55703,1.01097,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,938.881,1.01068,0.64019,1.02971,0.93621,0.86505,0.93193,0.6512,0.91122,0.54834,1.00728,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,970.983,1.0115,0.63815,1.02812,0.9239,0.86856,0.93398,0.6569,0.91544,0.53544,1.0096,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,1002.83,1.01182,0.63678,1.0308,0.92981,0.8659,0.93323,0.65295,0.90566,0.54187,1.00899,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,1034.59,1.00373,0.62889,1.02427,0.93849,0.85374,0.92868,0.6554,0.90764,0.54788,1.00589,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,1066.52,1.00608,0.63797,1.02798,0.94416,0.86154,0.9295,0.6599,0.8949,0.52907,1.00797,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,1098.28,0.99308,0.62588,1.02001,0.93605,0.87083,0.93313,0.65714,0.90429,0.52723,1.00177,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,1129.84,1.00344,0.62572,1.02364,0.93543,0.86505,0.93113,0.6631,0.89065,0.52112,1.00146,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,1161.54,0.98159,0.61581,1.01578,0.93791,0.87084,0.93408,0.65986,0.88928,0.52555,1.00003,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,1193.42,0.97891,0.61311,1.01673,0.92371,0.87299,0.93512,0.66633,0.87801,0.52035,0.99872,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,1225.6,0.97594,0.60742,1.01369,0.92018,0.87421,0.93364,0.65961,0.89209,0.51712,1.0015,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,1257.81,0.97269,0.60127,1.01142,0.9295,0.87802,0.93487,0.66884,0.87245,0.51282,0.99544,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,1289.69,0.97433,0.60413,1.01241,0.92686,0.87732,0.93395,0.66327,0.88223,0.51411,0.9986,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,1321.42,0.97043,0.60379,1.01063,0.92347,0.87961,0.93636,0.66902,0.88701,0.52451,0.99904,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,1353.36,0.96621,0.59615,1.00867,0.9354,0.88281,0.93781,0.67194,0.87184,0.50443,0.99124,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,1384.75,0.96254,0.59703,1.00984,0.93285,0.88597,0.94241,0.67388,0.8753,0.50548,0.99488,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,1417.02,0.96051,0.594,1.00679,0.93251,0.88761,0.94114,0.67339,0.87105,0.49983,0.99419,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,1448.81,0.9566,0.59152,1.00536,0.94245,0.88108,0.93854,0.67439,0.86807,0.50112,0.99221,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,1480.33,0.94913,0.58542,1.00201,0.94342,0.88489,0.93872,0.673,0.86727,0.49608,0.99001,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,1512.15,0.9528,0.58951,1.00366,0.94151,0.88516,0.94066,0.67893,0.86187,0.49398,0.98638,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,1544.11,0.95236,0.58599,1.00312,0.93228,0.88457,0.93917,0.67508,0.85658,0.49583,0.98559,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,1576.18,0.94702,0.58411,1.00175,0.9395,0.89182,0.94069,0.67768,0.85186,0.49045,0.98521,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,1608.22,0.94014,0.5783,0.99742,0.93979,0.8812,0.93931,0.67568,0.86224,0.49722,0.98643,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,1639.98,0.93894,0.57756,0.997,0.94166,0.89193,0.9407,0.67913,0.85935,0.48774,0.98403,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,1671.34,0.94,0.57805,1.00002,0.93969,0.89263,0.93994,0.67648,0.85568,0.48599,0.98361,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,1703.29,0.9327,0.57445,0.99678,0.93788,0.89367,0.93874,0.67587,0.86108,0.4884,0.98673,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,1735.62,0.92918,0.57217,0.99552,0.94224,0.88843,0.94106,0.67961,0.85726,0.48546,0.98399,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,1767.5,0.9245,0.5645,0.99192,0.94109,0.88438,0.93852,0.68016,0.84688,0.48329,0.98321,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,1799.43,0.9377,0.57451,0.99751,0.93922,0.89237,0.9417,0.68148,0.84924,0.48089,0.98055,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,1830.94,0.92055,0.56276,0.99079,0.93377,0.88574,0.94052,0.68002,0.85156,0.48371,0.98077,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,1861.9,0.91612,0.56176,0.99067,0.93622,0.89059,0.94305,0.68401,0.84798,0.47777,0.98122,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,1893.83,0.91572,0.55782,0.9894,0.94026,0.88726,0.9438,0.6839,0.8404,0.47371,0.98062,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,1925.8,0.91799,0.56072,0.99089,0.94417,0.886,0.94227,0.68313,0.84268,0.47328,0.98174,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,1958,0.91227,0.55415,0.98569,0.94735,0.88911,0.94292,0.6816,0.84575,0.47225,0.9817,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,1990.07,0.91043,0.5548,0.987,0.93783,0.89567,0.94448,0.68173,0.84166,0.47158,0.97912,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,2021.95,0.90458,0.55017,0.98761,0.9391,0.89082,0.94174,0.68116,0.83969,0.47244,0.97821,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,2055.22,0.90395,0.55137,0.98415,0.94469,0.87854,0.94035,0.68241,0.84153,0.4726,0.97809,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,2086.99,0.91049,0.55233,0.98822,0.92798,0.88636,0.93919,0.68159,0.83848,0.47411,0.97709,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
