epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,33.3358,1.37241,1.73302,1.24133,0.81778,0.68314,0.77723,0.49318,1.12323,1.13515,1.0554,0.0099359,0.00331197,0.0099359,0.00331197,0.0099359,0.00331197,0.0099359,0.00331197
2,65.7797,1.27621,1.06703,1.15995,0.80659,0.71751,0.78723,0.48958,1.19403,1.05893,1.11975,0.0197385,0.00657951,0.0197385,0.00657951,0.0197385,0.00657951,0.0197385,0.00657951
3,98.2635,1.34011,1.07779,1.20179,0.69071,0.5684,0.63658,0.35692,1.44822,1.46278,1.33476,0.0293432,0.00978106,0.0293432,0.00978106,0.0293432,0.00978106,0.0293432,0.00978106
4,130.28,1.37101,1.0749,1.23441,0.80995,0.70553,0.78445,0.45631,1.31132,0.97807,1.23471,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,162.553,1.29484,0.97436,1.19588,0.85697,0.71906,0.82754,0.50144,1.24624,0.93837,1.18211,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,194.896,1.25966,0.92668,1.18262,0.86722,0.79328,0.86685,0.55811,1.13468,0.81223,1.12569,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,226.998,1.21485,0.88557,1.16084,0.89673,0.80523,0.89115,0.57867,1.09629,0.73696,1.09182,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,258.58,1.19121,0.85979,1.14995,0.88499,0.82019,0.89206,0.57427,1.1129,0.74497,1.10676,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,290.438,1.16924,0.83397,1.1382,0.91023,0.80847,0.89248,0.57867,1.0794,0.73377,1.08614,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,321.996,1.1555,0.8142,1.12951,0.91642,0.80108,0.89421,0.59169,1.08863,0.71532,1.10269,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,353.782,1.14112,0.80265,1.12728,0.9049,0.82437,0.90395,0.59695,1.07355,0.68964,1.08166,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,385.518,1.12181,0.78459,1.11938,0.89713,0.83561,0.90429,0.6109,1.01828,0.68616,1.06129,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,417.034,1.11205,0.77059,1.1092,0.91029,0.84015,0.91139,0.60734,1.02351,0.65338,1.06109,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,448.515,1.09763,0.75811,1.10396,0.915,0.84564,0.91263,0.62055,1.00398,0.63603,1.05089,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,480.521,1.09148,0.75038,1.10277,0.91838,0.84176,0.9119,0.60987,1.01234,0.63058,1.05682,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,512.477,1.07886,0.74283,1.0939,0.93046,0.85813,0.92382,0.63692,0.96678,0.59552,1.02998,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,544.634,1.07976,0.74111,1.09491,0.90972,0.83694,0.91081,0.61046,1.00287,0.65498,1.05828,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,576.492,1.06393,0.72965,1.09163,0.9243,0.82772,0.90556,0.60957,1.02285,0.62458,1.05773,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,607.929,1.05894,0.72281,1.08753,0.92727,0.86194,0.92435,0.63677,0.96332,0.58643,1.03783,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,639.646,1.05153,0.71251,1.08409,0.92521,0.87538,0.92709,0.64116,0.95772,0.5718,1.02826,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,671.487,1.04287,0.70847,1.08043,0.92361,0.86272,0.92633,0.64006,0.94903,0.5838,1.02537,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,703.172,1.04506,0.70791,1.08142,0.92865,0.87417,0.93214,0.64206,0.95393,0.5916,1.02228,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,734.979,1.03434,0.69472,1.07419,0.93172,0.86663,0.92579,0.63376,0.95267,0.57213,1.02932,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,766.349,1.03039,0.69159,1.07371,0.93145,0.85794,0.92385,0.64674,0.92314,0.56371,1.01954,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,797.39,1.0228,0.69226,1.072,0.9335,0.86526,0.92879,0.65086,0.94267,0.56988,1.02097,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,828.676,1.02123,0.68398,1.06893,0.94361,0.8733,0.93348,0.64781,0.93444,0.55332,1.0197,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,860.204,1.0193,0.6826,1.06992,0.91863,0.87534,0.93152,0.65156,0.92247,0.55153,1.01762,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,892.144,1.02111,0.67957,1.06681,0.93682,0.87795,0.93227,0.65101,0.93574,0.54983,1.02127,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,924.082,1.01028,0.67102,1.06481,0.94112,0.87529,0.93495,0.65635,0.91995,0.53729,1.01126,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,955.372,1.00092,0.66683,1.0591,0.92588,0.87712,0.93317,0.65966,0.91709,0.53605,1.01165,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,986.504,0.99816,0.66282,1.05905,0.932,0.86398,0.93046,0.655,0.91485,0.53873,1.01265,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,1018.56,1.0007,0.6617,1.06196,0.92564,0.87368,0.9299,0.65698,0.9091,0.53351,1.00407,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,1050.3,0.99661,0.66324,1.05663,0.93429,0.87597,0.93084,0.65811,0.90627,0.53597,1.01033,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,1081.91,0.98321,0.6506,1.0539,0.92945,0.88278,0.93552,0.66149,0.9041,0.53258,1.00622,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,1112.69,0.99049,0.65803,1.05694,0.93444,0.88418,0.93667,0.66491,0.9018,0.52398,1.00411,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,1144.45,0.97751,0.64557,1.05081,0.94503,0.8778,0.93448,0.66777,0.8926,0.51892,1.00182,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,1176.29,0.98421,0.6433,1.05096,0.92645,0.88654,0.93939,0.66983,0.89759,0.51343,0.99869,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,1208.12,0.97829,0.64519,1.05004,0.93784,0.88083,0.93664,0.66908,0.8872,0.51893,0.99727,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,1239.96,0.97224,0.63806,1.04692,0.94108,0.87755,0.93666,0.67317,0.87661,0.51074,0.99694,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,1271.87,0.97337,0.63652,1.0485,0.94762,0.8812,0.93995,0.67554,0.87855,0.50825,0.99588,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,1303.72,0.96791,0.63565,1.04393,0.94635,0.8905,0.94057,0.66979,0.87745,0.50575,0.99593,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,1335.25,0.96359,0.63305,1.04462,0.93564,0.88252,0.94051,0.66785,0.88759,0.5054,1.0009,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,1366.94,0.95904,0.6239,1.04157,0.94248,0.892,0.94227,0.67576,0.87122,0.49632,0.99594,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,1398.57,0.96007,0.62438,1.04566,0.94472,0.88665,0.94273,0.67256,0.87866,0.50462,0.99787,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,1430.11,0.95768,0.63026,1.04001,0.93432,0.89111,0.94015,0.6743,0.8681,0.49387,0.99246,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,1461.73,0.95392,0.62221,1.03951,0.94455,0.88832,0.94217,0.67597,0.86438,0.48912,0.98598,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,1493.49,0.9507,0.61999,1.03977,0.94124,0.89142,0.94316,0.67881,0.8648,0.48661,0.98677,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,1525.02,0.94899,0.61627,1.03643,0.93372,0.89929,0.94163,0.68263,0.86166,0.48836,0.98525,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,1556.25,0.94358,0.61417,1.03622,0.93816,0.88962,0.94018,0.67905,0.86202,0.49135,0.98491,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,1588.09,0.94407,0.61046,1.03486,0.9496,0.88966,0.94448,0.68286,0.85687,0.48299,0.98551,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,1620.33,0.94015,0.61302,1.03463,0.94502,0.89032,0.94272,0.68276,0.8581,0.48264,0.98506,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,1652.19,0.93652,0.60631,1.03148,0.94638,0.89532,0.94223,0.68473,0.8501,0.48095,0.98155,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,1683.65,0.92751,0.60384,1.02991,0.94831,0.88801,0.94113,0.68228,0.85417,0.48379,0.98294,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,1715.16,0.93638,0.60654,1.02959,0.95005,0.88843,0.94418,0.68928,0.85,0.47712,0.98272,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,1748.08,0.92594,0.60315,1.02772,0.94501,0.89135,0.94283,0.68584,0.84833,0.47842,0.98076,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,1779.08,0.92662,0.59925,1.02911,0.9429,0.89018,0.94249,0.68371,0.84903,0.48099,0.98144,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,1811.21,0.92528,0.59942,1.0269,0.94592,0.88537,0.94273,0.68369,0.85422,0.47728,0.98194,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,1843.69,0.92003,0.59261,1.02703,0.93968,0.89503,0.94445,0.68459,0.84983,0.47612,0.98019,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,1875.75,0.92267,0.59453,1.02602,0.94307,0.89408,0.94548,0.68692,0.84898,0.4758,0.98,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,1907.98,0.91212,0.58923,1.02406,0.94742,0.89079,0.94401,0.68598,0.84463,0.47477,0.97902,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,1940.15,0.91599,0.58872,1.02203,0.94718,0.89226,0.9468,0.68941,0.83945,0.47245,0.97715,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,1972.54,0.91238,0.58519,1.01919,0.94973,0.88849,0.94678,0.68867,0.84218,0.47172,0.97831,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,2004.41,0.90838,0.58355,1.02107,0.94186,0.89661,0.94779,0.6916,0.83578,0.46522,0.97612,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,2036.97,0.91417,0.58638,1.02506,0.93942,0.90128,0.94558,0.68938,0.83629,0.46549,0.977,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,2069.65,0.90609,0.57966,1.02014,0.94206,0.89679,0.94597,0.68918,0.84235,0.46756,0.97867,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,2101.41,0.89877,0.57596,1.01733,0.93595,0.90004,0.94551,0.6875,0.84324,0.46784,0.97821,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,2133.07,0.8928,0.56851,1.01364,0.95027,0.88834,0.94721,0.68976,0.84276,0.46432,0.97703,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,2164.6,0.89895,0.57485,1.01552,0.94531,0.8945,0.94479,0.68946,0.83933,0.46431,0.97659,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,2196.07,0.88679,0.56628,1.01461,0.94881,0.89068,0.9449,0.69126,0.83343,0.46281,0.9746,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,2227.63,0.89569,0.56976,1.01225,0.94882,0.89368,0.94551,0.69112,0.8328,0.46035,0.97419,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,2259.45,0.89285,0.5684,1.01334,0.94353,0.8986,0.94608,0.69204,0.83432,0.45939,0.97498,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,2291.4,0.88552,0.56624,1.01157,0.94394,0.89777,0.94552,0.69244,0.83307,0.45929,0.97357,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,2323.67,0.88703,0.56686,1.01379,0.95184,0.88901,0.94466,0.69199,0.83208,0.45897,0.97363,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,2355.89,0.88091,0.55906,1.01163,0.94425,0.89404,0.94459,0.69069,0.8327,0.45823,0.97449,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,2387.62,0.88231,0.56026,1.01087,0.94511,0.8931,0.94515,0.69042,0.83392,0.45847,0.97571,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,2419.3,0.87305,0.55725,1.00742,0.9504,0.88936,0.9473,0.68954,0.83386,0.45755,0.97683,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,2451.02,0.87018,0.55511,1.00551,0.9539,0.8873,0.94746,0.69141,0.83211,0.4565,0.97612,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,2482.58,0.87155,0.55498,1.00743,0.94823,0.891,0.94763,0.69078,0.83115,0.45677,0.97518,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,2514.2,0.86849,0.5514,1.00622,0.95062,0.88843,0.94751,0.69132,0.831,0.45594,0.97443,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,2545.79,0.86532,0.54705,1.00198,0.94739,0.89334,0.94599,0.69075,0.83113,0.45489,0.97436,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,2577.31,0.85821,0.54357,1.0003,0.94986,0.89112,0.9459,0.69108,0.83011,0.45459,0.97382,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,2609.13,0.85781,0.54062,0.99932,0.94789,0.8919,0.94778,0.69171,0.83017,0.45378,0.97404,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,2641.01,0.86244,0.54616,1.00135,0.94863,0.89147,0.94767,0.69238,0.82912,0.45314,0.97355,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,2672.48,0.86626,0.55084,1.00664,0.95265,0.88762,0.94749,0.6934,0.829,0.453,0.97357,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,2704.63,0.85072,0.53944,0.99957,0.95223,0.8887,0.94537,0.69349,0.82893,0.45251,0.97388,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,2736.39,0.85687,0.53979,1.00254,0.95259,0.88905,0.94603,0.69393,0.82856,0.45217,0.97363,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,2767.98,0.84409,0.53081,0.99614,0.95145,0.89018,0.94505,0.69311,0.82809,0.45244,0.97364,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,2799.75,0.85201,0.53694,0.99962,0.95509,0.88808,0.94518,0.69316,0.82821,0.45264,0.97343,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,2831.3,0.84256,0.53016,0.99657,0.95309,0.88995,0.94543,0.69284,0.82795,0.45268,0.97357,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,2863.01,0.84614,0.53266,0.99642,0.95214,0.89082,0.94556,0.69274,0.82761,0.45186,0.97342,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,2895.82,0.69124,0.40573,0.92717,0.95413,0.89089,0.94666,0.69306,0.82686,0.45169,0.97344,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,2927.1,0.68299,0.39929,0.9276,0.95442,0.8896,0.94556,0.69322,0.82673,0.45173,0.97352,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,2958.24,0.67745,0.39366,0.92608,0.95512,0.88953,0.94507,0.69353,0.82616,0.4517,0.97326,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,2989.93,0.6737,0.39283,0.92014,0.95575,0.88902,0.94491,0.69344,0.82549,0.45207,0.97269,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,3021.65,0.66944,0.38974,0.92298,0.95572,0.8879,0.94483,0.69381,0.82526,0.45229,0.97252,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,3053.78,0.66511,0.38663,0.91999,0.95538,0.88761,0.94472,0.69374,0.82538,0.45227,0.97259,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,3085.88,0.65721,0.38105,0.91552,0.9554,0.88668,0.94464,0.69401,0.82514,0.45235,0.97238,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,3117.44,0.65869,0.38076,0.91672,0.95502,0.88657,0.94471,0.69384,0.82514,0.45221,0.97254,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,3149.14,0.65237,0.37731,0.91526,0.95532,0.88575,0.94465,0.6938,0.82527,0.45209,0.97276,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,3180.74,0.6504,0.37548,0.91258,0.95394,0.88707,0.94594,0.69378,0.82552,0.45198,0.97293,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
