epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,41.5786,1.43344,1.74659,1.22713,0.83933,0.72312,0.80638,0.49882,1.10731,1.07441,1.04346,0.0099359,0.00331197,0.0099359,0.00331197,0.0099359,0.00331197,0.0099359,0.00331197
2,78.172,1.34774,1.09723,1.1545,0.75626,0.64724,0.74154,0.44216,1.26495,1.11355,1.15877,0.0197385,0.00657951,0.0197385,0.00657951,0.0197385,0.00657951,0.0197385,0.00657951
3,111.144,1.42513,1.11662,1.19951,0.7015,0.63908,0.69553,0.39738,1.3671,1.3414,1.26111,0.0293432,0.00978106,0.0293432,0.00978106,0.0293432,0.00978106,0.0293432,0.00978106
4,142.416,1.45974,1.12073,1.23123,0.71848,0.61236,0.67387,0.41357,1.29343,1.15348,1.2094,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,174.875,1.37379,1.02052,1.19395,0.83838,0.72767,0.82548,0.50815,1.2766,0.9728,1.18381,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,207.518,1.34022,0.96816,1.17653,0.87037,0.77517,0.85903,0.54812,1.13165,0.83662,1.12422,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,239.822,1.29002,0.92293,1.15453,0.87808,0.79257,0.87771,0.55338,1.17011,0.75624,1.11682,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,271.783,1.268,0.89586,1.14932,0.90391,0.7863,0.87585,0.5433,1.13331,0.75501,1.10933,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,303.848,1.24366,0.87154,1.1364,0.89862,0.83419,0.90772,0.60038,1.0458,0.68209,1.07108,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,336.014,1.2346,0.85375,1.12559,0.90769,0.7964,0.89258,0.58276,1.07421,0.7069,1.08143,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,367.831,1.21586,0.83727,1.12203,0.89831,0.80905,0.89535,0.5996,1.02522,0.68394,1.05866,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,399.718,1.19787,0.82035,1.11226,0.91943,0.83195,0.90851,0.60588,1.03666,0.68458,1.06868,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,431.57,1.18988,0.8103,1.10338,0.91658,0.8345,0.91292,0.6155,1.01862,0.67822,1.05589,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,462.938,1.17193,0.79391,1.10068,0.9065,0.82912,0.90224,0.59946,1.04397,0.67359,1.0668,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,494.644,1.16362,0.78901,1.09832,0.91564,0.83347,0.91151,0.61877,0.99074,0.6441,1.04883,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,526.695,1.15699,0.77753,1.09053,0.91681,0.8393,0.91079,0.61182,1.01191,0.63793,1.05494,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,558.682,1.14681,0.77225,1.08744,0.91063,0.84447,0.91441,0.61825,0.98999,0.65985,1.04932,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,590.708,1.13334,0.76578,1.08515,0.92233,0.8364,0.91794,0.61785,0.97349,0.61185,1.04505,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,622.468,1.12715,0.75314,1.08084,0.92261,0.84427,0.92119,0.63167,0.96678,0.61862,1.02835,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,654.252,1.12467,0.74718,1.0807,0.92393,0.85399,0.92323,0.64172,0.94665,0.60577,1.02128,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,686.163,1.11677,0.74463,1.07402,0.91659,0.83576,0.91447,0.61951,1.0091,0.63337,1.04906,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,718.1,1.11412,0.74587,1.07551,0.92258,0.86556,0.93005,0.6397,0.96017,0.60832,1.01966,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,749.981,1.10268,0.72693,1.06684,0.93483,0.87109,0.93113,0.64606,0.93787,0.57364,1.0175,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,781.79,1.10303,0.72767,1.07149,0.92765,0.8612,0.93235,0.63954,0.95076,0.58985,1.02425,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,812.932,1.08878,0.72423,1.06657,0.93912,0.8674,0.92895,0.64479,0.95705,0.57882,1.02871,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,844.352,1.09272,0.71564,1.06469,0.93595,0.8605,0.93087,0.64341,0.94934,0.57826,1.02234,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,876.448,1.08763,0.71703,1.06541,0.94,0.87031,0.93402,0.64837,0.93132,0.56371,1.01899,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,908.735,1.08712,0.71204,1.06044,0.93825,0.86778,0.93359,0.65294,0.92819,0.5613,1.01208,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,940.945,1.07774,0.70472,1.0569,0.9343,0.8747,0.93567,0.65445,0.91907,0.55602,1.01192,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,972.684,1.07017,0.70024,1.0572,0.93302,0.8713,0.93412,0.65276,0.92246,0.55201,1.0114,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
