epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,35.7579,1.29481,1.67128,1.18809,0.7746,0.68768,0.76119,0.49205,1.10756,1.18742,1.04699,0.0099359,0.00331197,0.0099359,0.00331197,0.0099359,0.00331197,0.0099359,0.00331197
2,67.7877,1.22107,1.0061,1.12538,0.79947,0.71713,0.80742,0.48502,1.20306,1.06208,1.12368,0.0197385,0.00657951,0.0197385,0.00657951,0.0197385,0.00657951,0.0197385,0.00657951
3,100.831,1.27863,1.01005,1.16207,0.66988,0.54663,0.60391,0.35983,1.38537,1.44073,1.29583,0.0293432,0.00978106,0.0293432,0.00978106,0.0293432,0.00978106,0.0293432,0.00978106
4,132.468,1.30253,0.99682,1.19196,0.79697,0.63957,0.7189,0.42705,1.3783,1.17177,1.25143,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,164.44,1.23839,0.90248,1.1616,0.81032,0.67678,0.78737,0.46679,1.32167,1.13756,1.22345,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,196.524,1.18855,0.84926,1.14143,0.8581,0.76992,0.86352,0.53305,1.16656,0.84119,1.13102,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,228.519,1.1568,0.80941,1.12426,0.88323,0.77233,0.86721,0.55468,1.11907,0.75266,1.11487,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,260.505,1.12744,0.77823,1.11366,0.88495,0.81446,0.89244,0.57976,1.09391,0.70158,1.09499,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,292.005,1.10554,0.75591,1.09882,0.86019,0.80682,0.88498,0.57479,1.07411,0.71254,1.09403,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,324.76,1.08172,0.73564,1.09043,0.88881,0.78635,0.87569,0.56926,1.07283,0.70674,1.09183,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,355.495,1.07149,0.72069,1.08294,0.87931,0.82836,0.89437,0.596,1.05086,0.67873,1.07178,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,387.043,1.0596,0.70832,1.07948,0.8908,0.83594,0.90528,0.60803,1.01652,0.66058,1.05731,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,418.564,1.04583,0.69678,1.07263,0.90505,0.82309,0.90385,0.59278,1.05771,0.65765,1.07407,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,450.125,1.03587,0.68885,1.07017,0.89039,0.85462,0.91229,0.60966,1.02799,0.69494,1.06158,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,481.524,1.02455,0.68524,1.06523,0.9087,0.84262,0.91485,0.62595,0.98496,0.61053,1.04155,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,512.588,1.02694,0.68037,1.06603,0.91571,0.82907,0.90854,0.60441,1.00223,0.62217,1.05488,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,543.917,1.0108,0.66511,1.06053,0.91894,0.86108,0.9238,0.63834,0.96214,0.58932,1.04119,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,575.738,1.00509,0.6588,1.05935,0.91881,0.84155,0.91716,0.62599,0.97955,0.60424,1.03751,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,607.542,0.99215,0.65085,1.05226,0.92325,0.84017,0.91708,0.64012,0.94349,0.61607,1.02714,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,639.265,0.98786,0.64348,1.04829,0.92749,0.84927,0.91572,0.62607,0.96263,0.59964,1.03872,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,671.009,0.98509,0.64089,1.04821,0.9289,0.84821,0.9205,0.63312,0.94333,0.5825,1.02518,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,702.7,0.97316,0.63221,1.04088,0.92253,0.83746,0.91992,0.64608,0.92392,0.57901,1.01587,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,734.298,0.97045,0.62984,1.0429,0.92306,0.86633,0.92709,0.64893,0.92839,0.5621,1.01942,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,765.789,0.96058,0.62055,1.04004,0.93415,0.85338,0.92268,0.64426,0.94116,0.56354,1.02595,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,797.348,0.96466,0.62458,1.0397,0.93346,0.85737,0.92581,0.65139,0.92917,0.54848,1.01852,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,828.253,0.95478,0.61155,1.03224,0.92693,0.86703,0.92674,0.64969,0.92536,0.53996,1.02645,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,859.013,0.95359,0.61605,1.03545,0.92374,0.8544,0.92489,0.65152,0.92038,0.54781,1.01667,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,890.413,0.9481,0.61295,1.03235,0.92776,0.86001,0.92459,0.64851,0.92914,0.54603,1.01765,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,921.62,0.94331,0.6015,1.03037,0.92508,0.86551,0.92654,0.65062,0.92061,0.55677,1.01607,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,953.445,0.93478,0.60097,1.02754,0.92444,0.87544,0.93144,0.65459,0.92207,0.54467,1.01704,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,983.948,0.93821,0.59916,1.02974,0.93369,0.87142,0.93143,0.65389,0.92229,0.53025,1.01551,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,1015.29,0.93212,0.59129,1.02553,0.94155,0.85618,0.92495,0.64545,0.91352,0.54066,1.01343,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,1046.7,0.93446,0.59763,1.02802,0.93367,0.87024,0.93225,0.65908,0.89788,0.53193,1.00794,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,1079.46,0.92055,0.58443,1.02157,0.93955,0.87042,0.92886,0.65821,0.90434,0.51989,1.00972,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,1110.35,0.92402,0.58782,1.0227,0.91954,0.87444,0.93156,0.6644,0.88487,0.51188,1.00322,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,1142.08,0.91173,0.57667,1.01761,0.93285,0.87322,0.93449,0.66034,0.90048,0.51736,1.00859,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,1173.19,0.91389,0.58174,1.01902,0.92952,0.884,0.93275,0.66279,0.89637,0.51105,1.00945,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,1204.02,0.9032,0.56949,1.01344,0.9358,0.88644,0.93873,0.6688,0.89413,0.50608,1.00335,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,1235.24,0.90098,0.5687,1.01358,0.93472,0.87603,0.93485,0.66904,0.87257,0.50752,0.99329,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,1266.44,0.90429,0.56963,1.01497,0.93816,0.88528,0.93655,0.67727,0.85888,0.49779,0.99017,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,1297.71,0.90179,0.56913,1.01313,0.93368,0.88466,0.94028,0.67213,0.87517,0.5005,0.9966,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,1329.34,0.89735,0.56228,1.01301,0.93316,0.88683,0.93721,0.67391,0.86744,0.49762,0.99194,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,1360.77,0.89016,0.56243,1.00981,0.9381,0.89018,0.93991,0.67293,0.87286,0.49629,0.9947,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,1393.19,0.89165,0.55731,1.00902,0.9439,0.88064,0.93864,0.67271,0.87256,0.49577,0.99159,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,1424.54,0.89034,0.55895,1.00829,0.93896,0.88019,0.9331,0.6664,0.88334,0.50128,0.99829,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,1455.79,0.87729,0.55132,1.00239,0.94559,0.88167,0.93869,0.67381,0.8648,0.48796,0.99142,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,1487.38,0.88033,0.55451,1.00485,0.94086,0.87977,0.94007,0.67715,0.86504,0.48416,0.99099,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,1518.95,0.88139,0.55079,1.00592,0.9352,0.87778,0.93737,0.67416,0.86595,0.49047,0.99202,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,1549.83,0.8757,0.54667,1.0008,0.94031,0.88199,0.93913,0.67772,0.86418,0.48693,0.99132,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,1580.59,0.86763,0.54092,0.99857,0.93604,0.88147,0.93947,0.67744,0.85988,0.48687,0.99003,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,1611.82,0.86757,0.54135,0.99914,0.93814,0.88716,0.93943,0.67667,0.85671,0.482,0.98753,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,1643.31,0.87004,0.54432,1.00058,0.93893,0.89363,0.94003,0.67906,0.85148,0.47855,0.98172,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,1675.07,0.86361,0.5372,0.99695,0.9398,0.88854,0.94039,0.68142,0.8519,0.48104,0.98124,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,1706.58,0.85819,0.53554,0.99578,0.94425,0.87978,0.94068,0.68167,0.85024,0.47736,0.98255,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,1737.84,0.8543,0.52867,0.99189,0.94906,0.88098,0.94171,0.68312,0.85003,0.47468,0.98371,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,1769.42,0.86657,0.53846,1.00063,0.94358,0.89217,0.94412,0.68251,0.85229,0.47517,0.98546,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,1801.1,0.85255,0.52657,0.99047,0.94741,0.88679,0.94471,0.68203,0.85271,0.47335,0.98433,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,1832.77,0.84693,0.52666,0.9919,0.95161,0.88329,0.94252,0.68475,0.83793,0.47024,0.97518,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,1864.08,0.84437,0.52163,0.99001,0.94275,0.89367,0.94287,0.68396,0.84123,0.46925,0.97956,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,1895.07,0.84619,0.52353,0.99146,0.95087,0.8855,0.94269,0.68344,0.84344,0.4674,0.98116,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,1926.07,0.84464,0.51982,0.98837,0.95205,0.88251,0.94148,0.68334,0.84391,0.47039,0.98107,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,1957.09,0.84256,0.52036,0.98823,0.95283,0.88366,0.94367,0.68337,0.84328,0.46907,0.98042,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,1987.9,0.83391,0.51324,0.98715,0.947,0.88811,0.94176,0.6829,0.84559,0.47217,0.982,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,2019.31,0.83601,0.51631,0.98697,0.94255,0.89293,0.94175,0.6841,0.84079,0.46697,0.98036,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,2050.94,0.84242,0.51743,0.99109,0.95011,0.8841,0.94257,0.68318,0.84646,0.46606,0.98147,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
